rup_mag,dist_rjb,result_type,damping,pgv,pga,0.0500,0.1000,0.2000,0.3003,0.5000,1.0000,2.0000,5.0000,10.0000
4.60,5.00,MEAN,5.0,3.90840896e+01,9.73148964e-02,1.37714391e-01,2.25517020e-01,1.66678401e-01,1.12067407e-01,7.90095020e-02,2.75156214e-02,6.06847161e-03,3.14180571e-04,2.15069747e-05
4.60,10.00,MEAN,5.0,1.92043671e+01,5.03824549e-02,6.88460970e-02,1.14045807e-01,9.29350045e-02,6.44435304e-02,4.24403859e-02,1.40081029e-02,3.10941955e-03,1.94840540e-04,1.69191805e-05
4.60,15.00,MEAN,5.0,1.18604181e+01,3.21498776e-02,4.30902808e-02,7.16109317e-02,6.18698872e-02,4.37803596e-02,2.77830119e-02,8.83037860e-03,1.97323734e-03,1.39116718e-04,1.40371624e-05
4.60,20.00,MEAN,5.0,8.22053343e+00,2.26662317e-02,2.99143330e-02,4.98745884e-02,4.49654894e-02,3.24772557e-02,1.99608635e-02,6.22413959e-03,1.39020653e-03,1.07245561e-04,1.20998316e-05
4.60,25.00,MEAN,5.0,6.09817664e+00,1.70011901e-02,2.20789962e-02,3.68535496e-02,3.45365796e-02,2.52917759e-02,1.53560432e-02,4.67928314e-03,1.04925084e-03,8.66920603e-05,1.06949639e-05
4.60,29.99,MEAN,5.0,4.74132800e+00,1.31819398e-02,1.69738095e-02,2.83647738e-02,2.73387922e-02,2.04117069e-02,1.21584811e-02,3.67857254e-03,8.28093402e-04,7.24902044e-05,9.59134084e-06
4.60,39.99,MEAN,5.0,3.14267883e+00,8.53648977e-03,1.08138247e-02,1.81334035e-02,1.84662761e-02,1.41214510e-02,8.30575898e-03,2.47217565e-03,5.62055658e-04,5.39236554e-05,7.99980359e-06
4.60,50.00,MEAN,5.0,2.25631640e+00,5.91261124e-03,7.39570065e-03,1.24388240e-02,1.33100389e-02,1.04370875e-02,6.07266501e-03,1.79547484e-03,4.12552596e-04,4.24403859e-05,6.88143995e-06
4.60,59.98,MEAN,5.0,1.70568959e+00,4.27444098e-03,5.29394377e-03,8.91619020e-03,9.92840134e-03,7.99796178e-03,4.63424857e-03,1.36986990e-03,3.16868687e-04,3.45843266e-05,6.03641826e-06
4.60,69.98,MEAN,5.0,1.33352143e+00,3.19065116e-03,3.91723228e-03,6.60205783e-03,7.63799420e-03,6.30346469e-03,3.65745780e-03,1.08163149e-03,2.52626744e-04,2.89987531e-05,5.39112404e-06
4.60,79.98,MEAN,5.0,1.07300069e+00,2.43937925e-03,2.96742208e-03,4.99895612e-03,5.99624438e-03,5.07083319e-03,2.94563767e-03,8.76959071e-04,2.07768318e-04,2.47673376e-05,4.86048184e-06
4.60,89.95,MEAN,5.0,8.81048873e-01,1.88486098e-03,2.29128612e-03,3.85904039e-03,4.78497116e-03,4.14647761e-03,2.42873049e-03,7.25402962e-04,1.73412071e-04,2.15962986e-05,4.41651108e-06
4.60,100.00,MEAN,5.0,7.77678334e-01,1.57680985e-03,1.89923771e-03,3.19653397e-03,4.10090137e-03,3.61975623e-03,2.13589217e-03,6.44583708e-04,1.55445919e-04,2.00899717e-05,4.28725509e-06
4.60,109.90,MEAN,5.0,6.92946970e-01,1.31819398e-03,1.57898980e-03,2.66182393e-03,3.52516398e-03,3.19653397e-03,1.89836328e-03,5.76871820e-04,1.40662821e-04,1.87274792e-05,4.15795059e-06
4.60,119.95,MEAN,5.0,6.21870564e-01,1.10988843e-03,1.31758707e-03,2.23192360e-03,3.04564531e-03,2.82409515e-03,1.68919320e-03,5.19492551e-04,1.28256482e-04,1.75218244e-05,4.04277270e-06
4.60,149.97,MEAN,5.0,4.63340219e-01,6.79953673e-04,8.01270815e-04,1.36012657e-03,2.01455591e-03,1.98966209e-03,1.23531958e-03,3.92897553e-04,9.99952394e-05,1.48006001e-05,3.72802936e-06
4.60,199.99,MEAN,5.0,3.06196343e-01,3.17818610e-04,3.68026697e-04,6.24279860e-04,1.05895944e-03,1.16809812e-03,7.74781647e-04,2.63438548e-04,7.10034293e-05,1.16005699e-05,3.28306381e-06
4.60,250.03,MEAN,5.0,2.13550209e-01,1.53985322e-04,1.76880242e-04,2.99901974e-04,5.77935437e-04,7.09870820e-04,5.08135251e-04,1.85429712e-04,5.30614757e-05,9.40977685e-06,2.91057855e-06
4.60,299.92,MEAN,5.0,1.54454299e-01,7.72465913e-05,8.74942121e-05,1.48791912e-04,3.23801849e-04,4.41651108e-04,3.42041911e-04,1.35981342e-04,4.09618275e-05,7.79254510e-06,2.58094841e-06
4.60,349.95,MEAN,5.0,1.14419488e-01,3.92988032e-05,4.41549426e-05,7.50895194e-05,1.83476026e-04,2.78598853e-04,2.34519697e-04,1.01526479e-04,3.24398864e-05,6.54002373e-06,2.30823129e-06
4.60,399.94,MEAN,5.0,8.63574878e-02,2.02013003e-05,2.25568953e-05,3.84750617e-05,1.05652390e-04,1.77165569e-04,1.63335025e-04,7.71044288e-05,2.60063453e-05,5.55749812e-06,2.06480634e-06
4.60,500.03,MEAN,5.0,5.08979159e-02,5.54343966e-06,6.11335090e-06,1.04274790e-05,3.58574436e-05,7.41958004e-05,8.18049012e-05,4.60552691e-05,1.74895777e-05,4.09335419e-06,1.66333346e-06
4.60,749.89,MEAN,5.0,1.55811676e-02,2.40203496e-07,2.58808970e-07,4.42873123e-07,2.62590690e-06,9.10079485e-06,1.60538546e-05,1.44204670e-05,7.27912747e-06,2.06908973e-06,9.87823433e-07
4.60,1000.00,MEAN,5.0,5.27837207e-03,1.12093215e-08,1.18707819e-08,2.03413290e-08,2.05059231e-07,1.19008868e-06,3.42041911e-06,4.95883119e-06,3.34795278e-06,1.10402606e-06,5.93580089e-07
4.70,0.10,MEAN,5.0,1.07844996e+02,3.17818610e-01,4.86720148e-01,6.83564223e-01,4.16082379e-01,2.67041848e-01,1.99608635e-01,7.48995700e-02,1.67409201e-02,7.43154864e-04,4.20125773e-05
4.70,1.00,MEAN,5.0,9.68277856e+01,2.63620588e-01,3.98822200e-01,5.87055721e-01,3.71774266e-01,2.41367796e-01,1.80085740e-01,6.75428411e-02,1.52468218e-02,6.90206944e-04,3.98546798e-05
4.70,2.00,MEAN,5.0,7.99097920e+01,1.98325850e-01,2.94428146e-01,4.55700310e-01,3.08162171e-01,2.02852014e-01,1.49375484e-01,5.62185091e-02,1.28404228e-02,6.13167778e-04,3.74178926e-05
4.70,5.00,MEAN,5.0,4.39136969e+01,1.04828489e-01,1.49581996e-01,2.41812821e-01,1.83476026e-01,1.25944534e-01,8.80804094e-02,3.19359121e-02,7.42983766e-03,4.21385245e-04,3.11156820e-05
4.70,10.00,MEAN,5.0,2.20241928e+01,5.55621861e-02,7.62042730e-02,1.25539191e-01,1.04202785e-01,7.35663695e-02,4.81592067e-02,1.64808393e-02,3.88668482e-03,2.64289144e-04,2.46592194e-05
4.70,15.00,MEAN,5.0,1.38324784e+01,3.60976828e-02,4.84372328e-02,7.99796178e-02,7.02715163e-02,5.07083319e-02,3.19653397e-02,1.05944722e-02,2.49619969e-03,1.90317763e-04,2.06480634e-05
4.70,20.00,MEAN,5.0,9.68277856e+00,2.57441955e-02,3.40705641e-02,5.63740614e-02,5.16867618e-02,3.78686065e-02,2.33119887e-02,7.54882443e-03,1.77860424e-03,1.48620708e-04,1.79217050e-05
4.70,25.00,MEAN,5.0,7.26607707e+00,1.94661168e-02,2.54026675e-02,4.20803482e-02,3.99281625e-02,2.97837463e-02,1.80085740e-02,5.73956957e-03,1.36012657e-03,1.20970458e-04,1.59139989e-05
4.70,29.99,MEAN,5.0,5.70821076e+00,1.51523267e-02,1.97051309e-02,3.26647489e-02,3.20169033e-02,2.41367796e-02,1.43773659e-02,4.54756928e-03,1.08212972e-03,1.01807395e-04,1.43080129e-05
4.70,39.99,MEAN,5.0,3.82736605e+00,1.00156543e-02,1.27022111e-02,2.11582295e-02,2.18262600e-02,1.69464730e-02,9.96734118e-03,3.10512669e-03,7.45897797e-04,7.64327217e-05,1.20137703e-05
4.70,50.00,MEAN,5.0,2.78035339e+00,7.02229912e-03,8.84462297e-03,1.47631599e-02,1.58299420e-02,1.26322096e-02,7.35663695e-03,2.28075862e-03,5.53069010e-04,6.07126689e-05,1.03939189e-05
4.70,59.98,MEAN,5.0,2.12226690e+00,5.13664231e-03,6.39851695e-03,1.06605430e-02,1.19668356e-02,9.76965718e-03,5.66734074e-03,1.75097250e-03,4.29021764e-04,4.99895612e-05,9.17654766e-06
4.70,69.98,MEAN,5.0,1.67880402e+00,3.85548772e-03,4.77176804e-03,7.96304783e-03,9.26999125e-03,7.75317032e-03,4.50899054e-03,1.39791036e-03,3.45286282e-04,4.21385245e-05,8.22961132e-06
4.70,79.98,MEAN,5.0,1.35643816e+00,2.96878895e-03,3.64400802e-03,6.07966045e-03,7.32620935e-03,6.27739308e-03,3.65745780e-03,1.14203476e-03,2.85482390e-04,3.62476057e-05,7.45554377e-06
4.70,89.95,MEAN,5.0,1.12150186e+00,2.31621742e-03,2.82539599e-03,4.71931889e-03,5.88815623e-03,5.16035197e-03,3.02955837e-03,9.50559539e-04,2.39154923e-04,3.15630762e-05,6.81050513e-06
4.70,100.00,MEAN,5.0,9.91288345e-01,1.93410178e-03,2.33872590e-03,3.91723228e-03,5.03592582e-03,4.51834433e-03,2.66611774e-03,8.44654936e-04,2.15267925e-04,2.94495949e-05,6.59597991e-06
4.70,109.90,MEAN,5.0,8.83690121e-01,1.62622010e-03,1.95875142e-03,3.26647489e-03,4.34089543e-03,3.96715642e-03,2.37289939e-03,7.57843141e-04,1.94302919e-04,2.74902902e-05,6.38086159e-06
4.70,119.95,MEAN,5.0,7.93779722e-01,1.36734883e-03,1.63824679e-03,2.74333803e-03,3.75300657e-03,3.51786626e-03,2.12167727e-03,6.82777694e-04,1.77860424e-04,2.58273189e-05,6.19411586e-06
4.70,149.97,MEAN,5.0,5.93608348e-01,8.40193514e-04,9.96045836e-04,1.66218487e-03,2.48244322e-03,2.47787460e-03,1.54945627e-03,5.17939847e-04,1.39148755e-04,2.17510048e-05,5.69218917e-06
4.70,199.99,MEAN,5.0,3.93550075e-01,3.92988032e-04,4.59387659e-04,7.69625280e-04,1.30701125e-03,1.45070572e-03,9.71581696e-04,3.47279641e-04,9.89644748e-05,1.70678699e-05,4.98975618e-06
4.70,250.03,MEAN,5.0,2.75359459e-01,1.92167228e-04,2.21962355e-04,3.71945513e-04,7.13475927e-04,8.84462297e-04,6.37939251e-04,2.45741964e-04,7.39910728e-05,1.37746104e-05,4.41651108e-06
4.70,299.92,MEAN,5.0,1.98792502e-01,9.60902502e-05,1.09794181e-04,1.84832920e-04,3.99281625e-04,5.50781475e-04,4.30010762e-04,1.81000312e-04,5.72505053e-05,1.14019550e-05,3.91452728e-06
4.70,349.95,MEAN,5.0,1.47740648e-01,4.90319679e-05,5.55493939e-05,9.33424776e-05,2.26662317e-04,3.47919944e-04,2.95923411e-04,1.34952000e-04,4.54442902e-05,9.57589388e-06,3.49847943e-06
4.70,399.94,MEAN,5.0,1.11480780e-01,2.53792816e-05,2.84891390e-05,4.78938031e-05,1.30701125e-04,2.22064596e-04,2.06623315e-04,1.02725751e-04,3.66251426e-05,8.12604690e-06,3.12593055e-06
4.70,500.03,MEAN,5.0,6.59477526e-02,6.94831221e-06,7.71577091e-06,1.30190509e-05,4.43689677e-05,9.26785701e-05,1.03152397e-04,6.15147587e-05,2.45120325e-05,5.98107605e-06,2.50887674e-06
4.70,749.89,MEAN,5.0,2.02814966e-02,3.01841760e-07,3.28835976e-07,5.54471623e-07,3.24996979e-06,1.13731122e-05,2.03835266e-05,1.92787701e-05,1.02844086e-05,3.00593319e-06,1.47665597e-06
4.70,1000.00,MEAN,5.0,6.87701545e-03,1.41670467e-08,1.51942520e-08,2.55728614e-08,2.55434365e-07,1.48929017e-06,4.32792100e-06,6.66621512e-06,4.73891942e-06,1.61614128e-06,8.84665975e-07
4.80,0.10,MEAN,5.0,1.17516812e+02,3.30125692e-01,5.04521089e-01,7.09054021e-01,4.46045667e-01,2.91393141e-01,2.16361172e-01,8.38840372e-02,1.98828815e-02,9.69570346e-04,5.97832230e-05
4.80,1.00,MEAN,5.0,1.06096242e+02,2.75917550e-01,4.16657616e-01,6.12603289e-01,4.00478610e-01,2.65753703e-01,1.95424642e-01,7.59240426e-02,1.80875325e-02,9.04647369e-04,5.69218917e-05
4.80,2.00,MEAN,5.0,8.81048873e+01,2.08199328e-01,3.09798510e-01,4.80152644e-01,3.33333778e-01,2.24635983e-01,1.64732513e-01,6.37205219e-02,1.53949869e-02,8.08126455e-04,5.36264841e-05
4.80,5.00,MEAN,5.0,4.92946741e+01,1.12584687e-01,1.60243095e-01,2.59226457e-01,2.02665267e-01,1.41214510e-01,9.79894510e-02,3.67857254e-02,9.04439090e-03,5.60375739e-04,4.47382842e-05
4.80,10.00,MEAN,5.0,2.52522453e+01,6.11053624e-02,8.39226762e-02,1.37176376e-01,1.16567994e-01,8.36911093e-02,5.45857554e-02,1.94258184e-02,4.82813410e-03,3.56434164e-04,3.55614388e-05
4.80,15.00,MEAN,5.0,1.59808546e+01,4.02790598e-02,5.42474495e-02,8.91619020e-02,7.97405679e-02,5.84089400e-02,3.67180259e-02,1.26555005e-02,3.13891333e-03,2.59764216e-04,2.99625881e-05
4.80,20.00,MEAN,5.0,1.13893778e+01,2.90722955e-02,3.86971806e-02,6.35886089e-02,5.92351271e-02,4.40331064e-02,2.70819121e-02,9.12387495e-03,2.27184828e-03,2.03882206e-04,2.62409361e-05
4.80,25.00,MEAN,5.0,8.63574878e+00,2.21758014e-02,2.90856869e-02,4.78938031e-02,4.61720678e-02,3.49204092e-02,2.10804232e-02,7.00453524e-03,1.74895777e-03,1.67640646e-04,2.33711092e-05
4.80,29.99,MEAN,5.0,6.83596767e+00,1.74936053e-02,2.27918367e-02,3.75473529e-02,3.71774266e-02,2.85022618e-02,1.70325363e-02,5.59215660e-03,1.40500971e-03,1.41670467e-04,2.10755698e-05
4.80,39.99,MEAN,5.0,4.66015112e+00,1.17267948e-02,1.49581996e-02,2.47616354e-02,2.57797870e-02,2.02852014e-02,1.19228293e-02,3.88489535e-03,9.82153400e-04,1.07690979e-04,1.79217050e-05
4.80,50.00,MEAN,5.0,3.42452231e+00,8.32682283e-03,1.05288109e-02,1.73212538e-02,1.89486958e-02,1.52749334e-02,8.90593097e-03,2.88455832e-03,7.36850401e-04,8.62341574e-05,1.56271336e-05
4.80,59.98,MEAN,5.0,2.63269167e+00,6.14722804e-03,7.69270936e-03,1.26700790e-02,1.43906140e-02,1.18871933e-02,6.92435499e-03,2.23655367e-03,5.78467980e-04,7.14462312e-05,1.38222685e-05
4.80,69.98,MEAN,5.0,2.09507705e+00,4.66852108e-03,5.79267715e-03,9.56707821e-03,1.12248184e-02,9.49903142e-03,5.54216338e-03,1.79547484e-03,4.69331090e-04,6.07126689e-05,1.24445537e-05
4.80,79.98,MEAN,5.0,1.70568959e+00,3.60976828e-03,4.45122271e-03,7.35833108e-03,8.93468662e-03,7.74068375e-03,4.53711016e-03,1.48620708e-03,3.88668482e-04,5.24057963e-05,1.13130400e-05
4.80,89.95,MEAN,5.0,1.42363940e+00,2.84563586e-03,3.47839841e-03,5.75412543e-03,7.21903794e-03,6.39262641e-03,3.76946161e-03,1.24045017e-03,3.28835976e-04,4.60658750e-05,1.03795691e-05
4.80,100.00,MEAN,5.0,1.25979535e+00,2.37782191e-03,2.88455832e-03,4.77726491e-03,6.17560236e-03,5.59730954e-03,3.33640931e-03,1.10377188e-03,2.95991558e-04,4.27444098e-05,1.00364315e-05
4.80,109.90,MEAN,5.0,1.12408719e+00,1.99562679e-03,2.40979070e-03,3.99925710e-03,5.32450604e-03,4.92923274e-03,2.95923411e-03,9.90328607e-04,2.69078702e-04,4.00202064e-05,9.70687248e-06
4.80,119.95,MEAN,5.0,1.01134656e+00,1.67524883e-03,2.02992188e-03,3.35953619e-03,4.60446657e-03,4.36495051e-03,2.63863503e-03,8.94703888e-04,2.45120325e-04,3.74609964e-05,9.40544449e-06
4.80,149.97,MEAN,5.0,7.57530285e-01,1.03604668e-03,1.23446654e-03,2.04587608e-03,3.04564531e-03,3.08091222e-03,1.94034665e-03,6.78389823e-04,1.92832097e-04,3.15630762e-05,8.61746096e-06
4.80,199.99,MEAN,5.0,5.03616557e-01,4.86608089e-04,5.70925347e-04,9.47500231e-04,1.60686475e-03,1.81000312e-03,1.21724871e-03,4.57698326e-04,1.37081650e-04,2.47673376e-05,7.52799504e-06
4.80,250.03,MEAN,5.0,3.53264503e-01,2.37782191e-04,2.76617291e-04,4.58014602e-04,8.78980670e-04,1.10021947e-03,7.99980359e-04,3.25221557e-04,1.02844086e-04,1.99378959e-05,6.62337469e-06
4.80,299.92,MEAN,5.0,2.56507460e-01,1.19503142e-04,1.37714391e-04,2.27865893e-04,4.91676356e-04,6.84194099e-04,5.40230780e-04,2.38385219e-04,7.96671580e-05,1.66141958e-05,5.87867329e-06
4.80,349.95,MEAN,5.0,1.90721652e-01,6.09788633e-05,6.95631636e-05,1.15552494e-04,2.79434049e-04,4.32592837e-04,3.71346491e-04,1.78065312e-04,6.32236150e-05,1.38956646e-05,5.21890419e-06
4.80,399.94,MEAN,5.0,1.43714305e-01,3.15340190e-05,3.57338100e-05,5.93990261e-05,1.60686475e-04,2.75981089e-04,2.59644618e-04,1.36106644e-04,5.09775929e-05,1.17809232e-05,4.65992927e-06
4.80,500.03,MEAN,5.0,8.52903703e-02,8.68519002e-06,9.72253073e-06,1.61576920e-05,5.47998443e-05,1.15419536e-04,1.29950910e-04,8.18237396e-05,3.43778985e-05,8.66920603e-06,3.72802936e-06
4.80,749.89,MEAN,5.0,2.63269167e-02,3.79471640e-07,4.15507937e-07,6.91638761e-07,4.01679182e-06,1.41214510e-05,2.56849855e-05,2.57501240e-05,1.44237878e-05,4.36495051e-06,2.19371055e-06
4.80,1000.00,MEAN,5.0,8.94540484e-03,1.78640253e-08,1.92300018e-08,3.20833216e-08,3.16576975e-07,1.86156980e-06,5.47241878e-06,8.91824347e-06,6.66621512e-06,2.34088093e-06,1.30340483e-06
4.90,0.10,MEAN,5.0,1.27732085e+02,3.41255237e-01,5.21169899e-01,7.33464881e-01,4.78497116e-01,3.18404593e-01,2.33119887e-01,9.36007491e-02,2.33173571e-02,1.25799619e-03,8.41548838e-05
4.90,1.00,MEAN,5.0,1.15904421e+02,2.87064392e-01,4.33290657e-01,6.38233101e-01,4.31697292e-01,2.91393141e-01,2.12167727e-01,8.52077945e-02,2.13736811e-02,1.17809232e-03,8.04413452e-05
4.90,2.00,MEAN,5.0,9.68277856e+01,2.19270054e-01,3.25296450e-01,5.03360723e-01,3.60976828e-01,2.47787460e-01,1.80085740e-01,7.18090737e-02,1.82380887e-02,1.05579433e-03,7.58541462e-05
4.90,5.00,MEAN,5.0,5.50680883e+01,1.20859091e-01,1.72139019e-01,2.77830119e-01,2.21860161e-01,1.57898980e-01,1.08737495e-01,4.20900386e-02,1.09264561e-02,7.40081119e-04,6.38086159e-05
4.90,10.00,MEAN,5.0,2.87408759e+01,6.70161268e-02,9.22315112e-02,1.49961344e-01,1.29502849e-01,9.49903142e-02,6.18414017e-02,2.28075862e-02,5.94948432e-03,4.77286691e-04,5.10363168e-05
4.90,15.00,MEAN,5.0,1.85353162e+01,4.49654894e-02,6.06567762e-02,9.89189105e-02,9.00490892e-02,6.70161268e-02,4.20222522e-02,1.50099527e-02,3.94620211e-03,3.51948667e-04,4.32991454e-05
4.90,20.00,MEAN,5.0,1.33628779e+01,3.28911702e-02,4.36796676e-02,7.14956015e-02,6.76362194e-02,5.10951083e-02,3.14108236e-02,1.09920659e-02,2.88522259e-03,2.77894099e-04,3.79908775e-05
4.90,25.00,MEAN,5.0,1.02352864e+01,2.53792816e-02,3.33564116e-02,5.45229473e-02,5.32450604e-02,4.08205944e-02,2.45685386e-02,8.52077945e-03,2.24222569e-03,2.29551072e-04,3.39765536e-05
4.90,29.99,MEAN,5.0,8.16582371e+00,2.02013003e-02,2.63559894e-02,4.30109787e-02,4.31697292e-02,3.36340623e-02,2.01038541e-02,6.87193945e-03,1.80875325e-03,1.96326681e-04,3.09727184e-05
4.90,39.99,MEAN,5.0,5.65457541e+00,1.36734883e-02,1.75703060e-02,2.88323024e-02,3.03374675e-02,2.41367796e-02,1.42389946e-02,4.82702251e-03,1.28552144e-03,1.50445542e-04,2.63802754e-05
4.90,50.00,MEAN,5.0,4.19082957e+00,9.84190853e-03,1.24646281e-02,2.04587608e-02,2.24222569e-02,1.83560539e-02,1.07492787e-02,3.63479000e-03,9.74494348e-04,1.21584811e-04,2.30823129e-05
