rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.05,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,3,4,5,7.5,10,pga
4,60,90,0,75,75,75,620,0,100,MEAN,5,6.30E-04,1.02E-03,1.17E-03,1.20E-03,1.08E-03,9.34E-04,7.85E-04,5.52E-04,4.02E-04,1.99E-04,1.16E-04,5.15E-05,2.60E-05,9.93E-06,4.84E-06,2.67E-06,7.99E-07,3.01E-07,6.30E-04
4,60,90,0,100,100,100,620,0,100,MEAN,5,3.42E-04,5.27E-04,5.82E-04,6.26E-04,5.92E-04,5.35E-04,4.67E-04,3.47E-04,2.64E-04,1.46E-04,8.85E-05,4.11E-05,2.14E-05,8.28E-06,4.06E-06,2.25E-06,6.74E-07,2.55E-07,3.42E-04
4,90,90,0,0,0,0,620,0,100,MEAN,5,9.94E-02,1.90E-01,2.08E-01,1.81E-01,1.39E-01,1.09E-01,8.56E-02,5.71E-02,3.84E-02,1.79E-02,1.02E-02,3.72E-03,1.62E-03,5.93E-04,2.85E-04,1.56E-04,4.64E-05,1.74E-05,9.94E-02
4,90,90,0,5,5,5,620,0,100,MEAN,5,2.98E-02,5.66E-02,6.19E-02,5.35E-02,4.03E-02,3.12E-02,2.41E-02,1.57E-02,1.04E-02,4.78E-03,2.71E-03,9.93E-04,4.32E-04,1.59E-04,7.63E-05,4.19E-05,1.24E-05,4.67E-06,2.98E-02
4,90,90,0,25,25,25,620,0,100,MEAN,5,3.88E-03,6.99E-03,8.42E-03,7.56E-03,5.93E-03,4.62E-03,3.57E-03,2.33E-03,1.55E-03,7.12E-04,4.02E-04,1.58E-04,7.28E-05,2.70E-05,1.30E-05,7.17E-06,2.13E-06,8.02E-07,3.88E-03
4,90,90,0,50,50,50,620,0,100,MEAN,5,1.28E-03,2.17E-03,2.76E-03,2.64E-03,2.20E-03,1.77E-03,1.41E-03,9.52E-04,6.48E-04,3.07E-04,1.76E-04,7.39E-05,3.59E-05,1.35E-05,6.55E-06,3.61E-06,1.08E-06,4.06E-07,1.28E-03
4,90,90,0,75,75,75,620,0,100,MEAN,5,6.30E-04,1.02E-03,1.17E-03,1.20E-03,1.08E-03,9.34E-04,7.85E-04,5.52E-04,4.02E-04,1.99E-04,1.16E-04,5.15E-05,2.60E-05,9.93E-06,4.84E-06,2.67E-06,7.99E-07,3.01E-07,6.30E-04
4,90,90,0,100,100,100,620,0,100,MEAN,5,3.42E-04,5.27E-04,5.82E-04,6.26E-04,5.92E-04,5.35E-04,4.67E-04,3.47E-04,2.64E-04,1.46E-04,8.85E-05,4.11E-05,2.14E-05,8.28E-06,4.06E-06,2.25E-06,6.74E-07,2.55E-07,3.42E-04
5,30,90,0,0,0,0,620,0,100,MEAN,5,3.97E-01,6.38E-01,7.70E-01,7.95E-01,7.27E-01,6.52E-01,5.73E-01,4.38E-01,3.31E-01,1.84E-01,1.15E-01,5.18E-02,2.67E-02,1.12E-02,5.90E-03,3.46E-03,1.14E-03,4.55E-04,3.97E-01
5,30,90,0,5,5,5,620,0,100,MEAN,5,1.55E-01,2.48E-01,3.01E-01,3.07E-01,2.76E-01,2.43E-01,2.10E-01,1.56E-01,1.16E-01,6.31E-02,3.92E-02,1.76E-02,9.11E-03,3.82E-03,2.01E-03,1.18E-03,3.87E-04,1.55E-04,1.55E-01
5,30,90,0,25,25,25,620,0,100,MEAN,5,2.43E-02,3.76E-02,4.70E-02,4.88E-02,4.43E-02,3.89E-02,3.35E-02,2.49E-02,1.84E-02,1.00E-02,6.26E-03,2.90E-03,1.54E-03,6.49E-04,3.42E-04,2.00E-04,6.62E-05,2.64E-05,2.43E-02
5,30,90,0,50,50,50,620,0,100,MEAN,5,8.46E-03,1.25E-02,1.57E-02,1.69E-02,1.60E-02,1.44E-02,1.27E-02,9.73E-03,7.37E-03,4.15E-03,2.63E-03,1.27E-03,6.88E-04,2.94E-04,1.55E-04,9.13E-05,3.02E-05,1.21E-05,8.46E-03
5,30,90,0,75,75,75,620,0,100,MEAN,5,4.39E-03,6.22E-03,7.41E-03,8.37E-03,8.31E-03,7.83E-03,7.14E-03,5.68E-03,4.48E-03,2.62E-03,1.70E-03,8.45E-04,4.69E-04,2.03E-04,1.08E-04,6.34E-05,2.10E-05,8.42E-06,4.39E-03
5,30,90,0,100,100,100,620,0,100,MEAN,5,2.59E-03,3.51E-03,4.07E-03,4.77E-03,4.94E-03,4.82E-03,4.53E-03,3.77E-03,3.07E-03,1.92E-03,1.28E-03,6.54E-04,3.69E-04,1.62E-04,8.62E-05,5.09E-05,1.69E-05,6.78E-06,2.59E-03
5,60,90,0,0,0,0,620,0,100,MEAN,5,3.97E-01,6.38E-01,7.70E-01,7.95E-01,7.27E-01,6.52E-01,5.73E-01,4.38E-01,3.31E-01,1.84E-01,1.15E-01,5.18E-02,2.67E-02,1.12E-02,5.90E-03,3.46E-03,1.14E-03,4.55E-04,3.97E-01
5,60,90,0,5,5,5,620,0,100,MEAN,5,1.55E-01,2.48E-01,3.01E-01,3.07E-01,2.76E-01,2.43E-01,2.10E-01,1.56E-01,1.16E-01,6.31E-02,3.92E-02,1.76E-02,9.11E-03,3.82E-03,2.01E-03,1.18E-03,3.87E-04,1.55E-04,1.55E-01
5,60,90,0,25,25,25,620,0,100,MEAN,5,2.43E-02,3.76E-02,4.70E-02,4.88E-02,4.43E-02,3.89E-02,3.35E-02,2.49E-02,1.84E-02,1.00E-02,6.26E-03,2.90E-03,1.54E-03,6.49E-04,3.42E-04,2.00E-04,6.62E-05,2.64E-05,2.43E-02
5,60,90,0,50,50,50,620,0,100,MEAN,5,8.46E-03,1.25E-02,1.57E-02,1.69E-02,1.60E-02,1.44E-02,1.27E-02,9.73E-03,7.37E-03,4.15E-03,2.63E-03,1.27E-03,6.88E-04,2.94E-04,1.55E-04,9.13E-05,3.02E-05,1.21E-05,8.46E-03
5,60,90,0,75,75,75,620,0,100,MEAN,5,4.39E-03,6.22E-03,7.41E-03,8.37E-03,8.31E-03,7.83E-03,7.14E-03,5.68E-03,4.48E-03,2.62E-03,1.70E-03,8.45E-04,4.69E-04,2.03E-04,1.08E-04,6.34E-05,2.10E-05,8.42E-06,4.39E-03
5,60,90,0,100,100,100,620,0,100,MEAN,5,2.59E-03,3.51E-03,4.07E-03,4.77E-03,4.94E-03,4.82E-03,4.53E-03,3.77E-03,3.07E-03,1.92E-03,1.28E-03,6.54E-04,3.69E-04,1.62E-04,8.62E-05,5.09E-05,1.69E-05,6.78E-06,2.59E-03
5,90,90,0,0,0,0,620,0,100,MEAN,5,3.97E-01,6.38E-01,7.70E-01,7.95E-01,7.27E-01,6.52E-01,5.73E-01,4.38E-01,3.31E-01,1.84E-01,1.15E-01,5.18E-02,2.67E-02,1.12E-02,5.90E-03,3.46E-03,1.14E-03,4.55E-04,3.97E-01
5,90,90,0,5,5,5,620,0,100,MEAN,5,1.55E-01,2.48E-01,3.01E-01,3.07E-01,2.76E-01,2.43E-01,2.10E-01,1.56E-01,1.16E-01,6.31E-02,3.92E-02,1.76E-02,9.11E-03,3.82E-03,2.01E-03,1.18E-03,3.87E-04,1.55E-04,1.55E-01
5,90,90,0,25,25,25,620,0,100,MEAN,5,2.43E-02,3.76E-02,4.70E-02,4.88E-02,4.43E-02,3.89E-02,3.35E-02,2.49E-02,1.84E-02,1.00E-02,6.26E-03,2.90E-03,1.54E-03,6.49E-04,3.42E-04,2.00E-04,6.62E-05,2.64E-05,2.43E-02
5,90,90,0,50,50,50,620,0,100,MEAN,5,8.46E-03,1.25E-02,1.57E-02,1.69E-02,1.60E-02,1.44E-02,1.27E-02,9.73E-03,7.37E-03,4.15E-03,2.63E-03,1.27E-03,6.88E-04,2.94E-04,1.55E-04,9.13E-05,3.02E-05,1.21E-05,8.46E-03
5,90,90,0,75,75,75,620,0,100,MEAN,5,4.39E-03,6.22E-03,7.41E-03,8.37E-03,8.31E-03,7.83E-03,7.14E-03,5.68E-03,4.48E-03,2.62E-03,1.70E-03,8.45E-04,4.69E-04,2.03E-04,1.08E-04,6.34E-05,2.10E-05,8.42E-06,4.39E-03
5,90,90,0,100,100,100,620,0,100,MEAN,5,2.59E-03,3.51E-03,4.07E-03,4.77E-03,4.94E-03,4.82E-03,4.53E-03,3.77E-03,3.07E-03,1.92E-03,1.28E-03,6.54E-04,3.69E-04,1.62E-04,8.62E-05,5.09E-05,1.69E-05,6.78E-06,2.59E-03
6,30,90,0,0,0,0,620,0,100,MEAN,5,5.81E-01,8.99E-01,1.14E+00,1.25E+00,1.22E+00,1.15E+00,1.07E+00,8.94E-01,7.44E-01,5.01E-01,3.60E-01,2.02E-01,1.23E-01,6.22E-02,3.75E-02,2.45E-02,9.99E-03,4.63E-03,5.81E-01
6,30,90,0,5,5,5,620,0,100,MEAN,5,2.98E-01,4.59E-01,5.85E-01,6.32E-01,6.06E-01,5.62E-01,5.14E-01,4.20E-01,3.44E-01,2.27E-01,1.62E-01,9.07E-02,5.53E-02,2.79E-02,1.68E-02,1.10E-02,4.47E-03,2.07E-03,2.98E-01
6,30,90,0,25,25,25,620,0,100,MEAN,5,6.51E-02,9.82E-02,1.25E-01,1.35E-01,1.28E-01,1.18E-01,1.07E-01,8.58E-02,6.97E-02,4.57E-02,3.27E-02,1.85E-02,1.13E-02,5.76E-03,3.46E-03,2.26E-03,9.23E-04,4.28E-04,6.51E-02
6,30,90,0,50,50,50,620,0,100,MEAN,5,2.62E-02,3.82E-02,4.77E-02,5.25E-02,5.10E-02,4.77E-02,4.38E-02,3.61E-02,2.97E-02,2.00E-02,1.45E-02,8.36E-03,5.19E-03,2.65E-03,1.60E-03,1.05E-03,4.28E-04,1.99E-04,2.62E-02
6,30,90,0,75,75,75,620,0,100,MEAN,5,1.50E-02,2.12E-02,2.59E-02,2.93E-02,2.93E-02,2.80E-02,2.63E-02,2.23E-02,1.88E-02,1.30E-02,9.64E-03,5.65E-03,3.54E-03,1.83E-03,1.11E-03,7.25E-04,2.97E-04,1.38E-04,1.50E-02
6,30,90,0,100,100,100,620,0,100,MEAN,5,9.81E-03,1.34E-02,1.60E-02,1.86E-02,1.92E-02,1.88E-02,1.80E-02,1.58E-02,1.36E-02,9.75E-03,7.36E-03,4.41E-03,2.79E-03,1.45E-03,8.81E-04,5.79E-04,2.37E-04,1.10E-04,9.81E-03
6,60,90,0,0,0,0,620,0,100,MEAN,5,5.81E-01,8.99E-01,1.14E+00,1.25E+00,1.22E+00,1.15E+00,1.07E+00,8.94E-01,7.44E-01,5.01E-01,3.60E-01,2.02E-01,1.23E-01,6.22E-02,3.75E-02,2.45E-02,9.99E-03,4.63E-03,5.81E-01
6,60,90,0,5,5,5,620,0,100,MEAN,5,2.98E-01,4.59E-01,5.85E-01,6.32E-01,6.06E-01,5.62E-01,5.14E-01,4.20E-01,3.44E-01,2.27E-01,1.62E-01,9.07E-02,5.53E-02,2.79E-02,1.68E-02,1.10E-02,4.47E-03,2.07E-03,2.98E-01
6,60,90,0,25,25,25,620,0,100,MEAN,5,6.51E-02,9.82E-02,1.25E-01,1.35E-01,1.28E-01,1.18E-01,1.07E-01,8.58E-02,6.97E-02,4.57E-02,3.27E-02,1.85E-02,1.13E-02,5.76E-03,3.46E-03,2.26E-03,9.23E-04,4.28E-04,6.51E-02
6,60,90,0,50,50,50,620,0,100,MEAN,5,2.62E-02,3.82E-02,4.77E-02,5.25E-02,5.10E-02,4.77E-02,4.38E-02,3.61E-02,2.97E-02,2.00E-02,1.45E-02,8.36E-03,5.19E-03,2.65E-03,1.60E-03,1.05E-03,4.28E-04,1.99E-04,2.62E-02
6,60,90,0,75,75,75,620,0,100,MEAN,5,1.50E-02,2.12E-02,2.59E-02,2.93E-02,2.93E-02,2.80E-02,2.63E-02,2.23E-02,1.88E-02,1.30E-02,9.64E-03,5.65E-03,3.54E-03,1.83E-03,1.11E-03,7.25E-04,2.97E-04,1.38E-04,1.50E-02
6,60,90,0,100,100,100,620,0,100,MEAN,5,9.81E-03,1.34E-02,1.60E-02,1.86E-02,1.92E-02,1.88E-02,1.80E-02,1.58E-02,1.36E-02,9.75E-03,7.36E-03,4.41E-03,2.79E-03,1.45E-03,8.81E-04,5.79E-04,2.37E-04,1.10E-04,9.81E-03
6,90,90,0,0,0,0,620,0,100,MEAN,5,5.81E-01,8.99E-01,1.14E+00,1.25E+00,1.22E+00,1.15E+00,1.07E+00,8.94E-01,7.44E-01,5.01E-01,3.60E-01,2.02E-01,1.23E-01,6.22E-02,3.75E-02,2.45E-02,9.99E-03,4.63E-03,5.81E-01
6,90,90,0,5,5,5,620,0,100,MEAN,5,2.97E-01,4.59E-01,5.85E-01,6.32E-01,6.06E-01,5.62E-01,5.14E-01,4.20E-01,3.44E-01,2.27E-01,1.62E-01,9.07E-02,5.53E-02,2.79E-02,1.68E-02,1.10E-02,4.47E-03,2.07E-03,2.97E-01
6,90,90,0,25,25,25,620,0,100,MEAN,5,6.51E-02,9.82E-02,1.25E-01,1.35E-01,1.28E-01,1.18E-01,1.07E-01,8.58E-02,6.97E-02,4.57E-02,3.27E-02,1.85E-02,1.13E-02,5.76E-03,3.46E-03,2.26E-03,9.23E-04,4.28E-04,6.51E-02
6,90,90,0,50,50,50,620,0,100,MEAN,5,2.62E-02,3.82E-02,4.77E-02,5.25E-02,5.10E-02,4.77E-02,4.38E-02,3.61E-02,2.97E-02,2.00E-02,1.45E-02,8.36E-03,5.19E-03,2.65E-03,1.60E-03,1.05E-03,4.28E-04,1.99E-04,2.62E-02
6,90,90,0,75,75,75,620,0,100,MEAN,5,1.50E-02,2.12E-02,2.59E-02,2.93E-02,2.93E-02,2.80E-02,2.63E-02,2.23E-02,1.88E-02,1.30E-02,9.64E-03,5.65E-03,3.54E-03,1.83E-03,1.11E-03,7.25E-04,2.97E-04,1.38E-04,1.50E-02
6,90,90,0,100,100,100,620,0,100,MEAN,5,9.81E-03,1.34E-02,1.60E-02,1.86E-02,1.92E-02,1.88E-02,1.80E-02,1.58E-02,1.36E-02,9.75E-03,7.36E-03,4.41E-03,2.79E-03,1.45E-03,8.81E-04,5.79E-04,2.37E-04,1.10E-04,9.81E-03
7,30,90,0,0,0,0,620,0,100,MEAN,5,6.43E-01,9.93E-01,1.27E+00,1.40E+00,1.39E+00,1.33E+00,1.26E+00,1.09E+00,9.31E-01,6.71E-01,5.15E-01,3.18E-01,2.07E-01,1.17E-01,7.69E-02,5.42E-02,2.64E-02,1.43E-02,6.43E-01
7,30,90,0,5,5,5,620,0,100,MEAN,5,4.08E-01,6.29E-01,8.04E-01,8.80E-01,8.60E-01,8.14E-01,7.59E-01,6.42E-01,5.43E-01,3.85E-01,2.94E-01,1.82E-01,1.18E-01,6.67E-02,4.38E-02,3.09E-02,1.50E-02,8.16E-03,4.08E-01
7,30,90,0,25,25,25,620,0,100,MEAN,5,1.30E-01,1.96E-01,2.50E-01,2.72E-01,2.62E-01,2.45E-01,2.25E-01,1.86E-01,1.56E-01,1.09E-01,8.33E-02,5.17E-02,3.39E-02,1.92E-02,1.26E-02,8.85E-03,4.31E-03,2.34E-03,1.30E-01
7,30,90,0,50,50,50,620,0,100,MEAN,5,6.26E-02,9.20E-02,1.15E-01,1.27E-01,1.24E-01,1.17E-01,1.08E-01,9.10E-02,7.66E-02,5.46E-02,4.22E-02,2.65E-02,1.76E-02,1.00E-02,6.55E-03,4.63E-03,2.26E-03,1.23E-03,6.26E-02
7,30,90,0,75,75,75,620,0,100,MEAN,5,3.98E-02,5.68E-02,7.00E-02,7.87E-02,7.86E-02,7.53E-02,7.08E-02,6.07E-02,5.20E-02,3.80E-02,2.97E-02,1.90E-02,1.27E-02,7.29E-03,4.79E-03,3.38E-03,1.65E-03,9.00E-04,3.98E-02
7,30,90,0,100,100,100,620,0,100,MEAN,5,2.79E-02,3.87E-02,4.68E-02,5.39E-02,5.51E-02,5.39E-02,5.15E-02,4.54E-02,3.96E-02,2.97E-02,2.36E-02,1.54E-02,1.04E-02,5.99E-03,3.95E-03,2.79E-03,1.37E-03,7.45E-04,2.79E-02
7,60,90,0,0,0,0,620,0,100,MEAN,5,6.43E-01,9.93E-01,1.27E+00,1.40E+00,1.39E+00,1.33E+00,1.26E+00,1.09E+00,9.31E-01,6.71E-01,5.15E-01,3.18E-01,2.07E-01,1.17E-01,7.69E-02,5.42E-02,2.64E-02,1.43E-02,6.43E-01
7,60,90,0,5,5,5,620,0,100,MEAN,5,4.08E-01,6.29E-01,8.04E-01,8.80E-01,8.60E-01,8.14E-01,7.59E-01,6.42E-01,5.43E-01,3.85E-01,2.94E-01,1.81E-01,1.18E-01,6.67E-02,4.38E-02,3.09E-02,1.50E-02,8.16E-03,4.08E-01
7,60,90,0,25,25,25,620,0,100,MEAN,5,1.30E-01,1.96E-01,2.50E-01,2.72E-01,2.62E-01,2.45E-01,2.25E-01,1.86E-01,1.56E-01,1.09E-01,8.33E-02,5.17E-02,3.39E-02,1.92E-02,1.26E-02,8.85E-03,4.31E-03,2.34E-03,1.30E-01
7,60,90,0,50,50,50,620,0,100,MEAN,5,6.26E-02,9.20E-02,1.15E-01,1.27E-01,1.24E-01,1.17E-01,1.08E-01,9.10E-02,7.66E-02,5.46E-02,4.22E-02,2.65E-02,1.76E-02,1.00E-02,6.55E-03,4.63E-03,2.26E-03,1.23E-03,6.26E-02
7,60,90,0,75,75,75,620,0,100,MEAN,5,3.98E-02,5.68E-02,7.00E-02,7.87E-02,7.86E-02,7.53E-02,7.08E-02,6.07E-02,5.20E-02,3.80E-02,2.97E-02,1.90E-02,1.27E-02,7.29E-03,4.79E-03,3.38E-03,1.65E-03,9.00E-04,3.98E-02
7,60,90,0,100,100,100,620,0,100,MEAN,5,2.79E-02,3.87E-02,4.68E-02,5.39E-02,5.51E-02,5.39E-02,5.15E-02,4.54E-02,3.96E-02,2.97E-02,2.36E-02,1.54E-02,1.04E-02,5.99E-03,3.95E-03,2.79E-03,1.37E-03,7.45E-04,2.79E-02
7,90,90,0,0,0,0,620,0,100,MEAN,5,6.43E-01,9.93E-01,1.27E+00,1.40E+00,1.39E+00,1.33E+00,1.26E+00,1.09E+00,9.31E-01,6.71E-01,5.15E-01,3.18E-01,2.07E-01,1.17E-01,7.69E-02,5.42E-02,2.64E-02,1.43E-02,6.43E-01
7,90,90,0,5,5,5,620,0,100,MEAN,5,4.08E-01,6.29E-01,8.03E-01,8.80E-01,8.60E-01,8.14E-01,7.59E-01,6.42E-01,5.43E-01,3.85E-01,2.94E-01,1.81E-01,1.18E-01,6.67E-02,4.38E-02,3.09E-02,1.50E-02,8.16E-03,4.08E-01
7,90,90,0,25,25,25,620,0,100,MEAN,5,1.30E-01,1.96E-01,2.50E-01,2.72E-01,2.62E-01,2.45E-01,2.25E-01,1.86E-01,1.56E-01,1.09E-01,8.33E-02,5.17E-02,3.39E-02,1.92E-02,1.26E-02,8.85E-03,4.31E-03,2.34E-03,1.30E-01
7,90,90,0,50,50,50,620,0,100,MEAN,5,6.26E-02,9.20E-02,1.15E-01,1.27E-01,1.24E-01,1.17E-01,1.08E-01,9.10E-02,7.66E-02,5.46E-02,4.22E-02,2.65E-02,1.76E-02,1.00E-02,6.55E-03,4.63E-03,2.26E-03,1.23E-03,6.26E-02
7,90,90,0,75,75,75,620,0,100,MEAN,5,3.98E-02,5.68E-02,6.99E-02,7.87E-02,7.86E-02,7.53E-02,7.08E-02,6.07E-02,5.20E-02,3.80E-02,2.97E-02,1.90E-02,1.27E-02,7.29E-03,4.79E-03,3.38E-03,1.65E-03,9.00E-04,3.98E-02
7,90,90,0,100,100,100,620,0,100,MEAN,5,2.79E-02,3.87E-02,4.68E-02,5.39E-02,5.51E-02,5.39E-02,5.15E-02,4.54E-02,3.96E-02,2.97E-02,2.36E-02,1.54E-02,1.04E-02,5.99E-03,3.95E-03,2.79E-03,1.37E-03,7.45E-04,2.79E-02
8,30,90,0,0,0,0,620,0,100,MEAN,5,6.81E-01,1.05E+00,1.35E+00,1.51E+00,1.51E+00,1.47E+00,1.40E+00,1.23E+00,1.07E+00,7.87E-01,6.16E-01,3.93E-01,2.62E-01,1.53E-01,1.03E-01,7.49E-02,3.89E-02,2.27E-02,6.81E-01
8,30,90,0,5,5,5,620,0,100,MEAN,5,5.03E-01,7.75E-01,9.94E-01,1.10E+00,1.10E+00,1.05E+00,9.96E-01,8.62E-01,7.40E-01,5.40E-01,4.21E-01,2.69E-01,1.79E-01,1.05E-01,7.07E-02,5.11E-02,2.66E-02,1.55E-02,5.03E-01
8,30,90,0,25,25,25,620,0,100,MEAN,5,2.22E-01,3.35E-01,4.26E-01,4.70E-01,4.62E-01,4.38E-01,4.08E-01,3.46E-01,2.94E-01,2.12E-01,1.65E-01,1.06E-01,7.10E-02,4.16E-02,2.80E-02,2.03E-02,1.06E-02,6.17E-03,2.22E-01
8,30,90,0,50,50,50,620,0,100,MEAN,5,1.28E-01,1.89E-01,2.37E-01,2.64E-01,2.61E-01,2.48E-01,2.33E-01,1.98E-01,1.69E-01,1.23E-01,9.70E-02,6.30E-02,4.26E-02,2.51E-02,1.69E-02,1.23E-02,6.40E-03,3.74E-03,1.28E-01
8,30,90,0,75,75,75,620,0,100,MEAN,5,9.01E-02,1.29E-01,1.59E-01,1.80E-01,1.81E-01,1.75E-01,1.66E-01,1.44E-01,1.24E-01,9.24E-02,7.36E-02,4.85E-02,3.31E-02,1.96E-02,1.33E-02,9.63E-03,5.03E-03,2.94E-03,9.01E-02
8,30,90,0,100,100,100,620,0,100,MEAN,5,6.75E-02,9.40E-02,1.14E-01,1.32E-01,1.35E-01,1.33E-01,1.28E-01,1.13E-01,9.94E-02,7.57E-02,6.12E-02,4.09E-02,2.82E-02,1.68E-02,1.14E-02,8.28E-03,4.33E-03,2.53E-03,6.75E-02
8,60,90,0,0,0,0,620,0,100,MEAN,5,6.81E-01,1.05E+00,1.35E+00,1.51E+00,1.51E+00,1.47E+00,1.40E+00,1.23E+00,1.07E+00,7.87E-01,6.16E-01,3.93E-01,2.62E-01,1.53E-01,1.03E-01,7.49E-02,3.89E-02,2.27E-02,6.81E-01
8,60,90,0,5,5,5,620,0,100,MEAN,5,5.03E-01,7.75E-01,9.94E-01,1.10E+00,1.10E+00,1.05E+00,9.96E-01,8.62E-01,7.40E-01,5.40E-01,4.21E-01,2.69E-01,1.79E-01,1.05E-01,7.07E-02,5.11E-02,2.66E-02,1.55E-02,5.03E-01
8,60,90,0,25,25,25,620,0,100,MEAN,5,2.22E-01,3.35E-01,4.26E-01,4.70E-01,4.62E-01,4.38E-01,4.08E-01,3.46E-01,2.94E-01,2.12E-01,1.65E-01,1.06E-01,7.10E-02,4.16E-02,2.80E-02,2.03E-02,1.06E-02,6.17E-03,2.22E-01
8,60,90,0,50,50,50,620,0,100,MEAN,5,1.28E-01,1.89E-01,2.37E-01,2.64E-01,2.61E-01,2.48E-01,2.33E-01,1.98E-01,1.69E-01,1.23E-01,9.70E-02,6.30E-02,4.26E-02,2.51E-02,1.69E-02,1.23E-02,6.40E-03,3.74E-03,1.28E-01
8,60,90,0,75,75,75,620,0,100,MEAN,5,9.01E-02,1.29E-01,1.59E-01,1.80E-01,1.81E-01,1.75E-01,1.66E-01,1.44E-01,1.24E-01,9.24E-02,7.36E-02,4.85E-02,3.31E-02,1.96E-02,1.33E-02,9.63E-03,5.03E-03,2.94E-03,9.01E-02
8,60,90,0,100,100,100,620,0,100,MEAN,5,6.75E-02,9.40E-02,1.14E-01,1.32E-01,1.35E-01,1.33E-01,1.28E-01,1.13E-01,9.94E-02,7.57E-02,6.12E-02,4.09E-02,2.82E-02,1.68E-02,1.14E-02,8.28E-03,4.33E-03,2.53E-03,6.75E-02
8,90,90,0,0,0,0,620,0,100,MEAN,5,6.81E-01,1.05E+00,1.35E+00,1.51E+00,1.51E+00,1.47E+00,1.40E+00,1.23E+00,1.07E+00,7.87E-01,6.16E-01,3.93E-01,2.62E-01,1.53E-01,1.03E-01,7.49E-02,3.89E-02,2.27E-02,6.81E-01
