rup_mag,rup_hypo_depth,dist_rhypo,site_vs30,site_backarc,result_type,damping,pga,0.020,0.050,0.075,0.100,0.200,0.300,0.400,0.500,0.600,0.750,1.000,2.000,3.000,5.000,10.000
5.0,45.0,20.0,360.0,0.0,MEAN,5.0,1.19299160e-01,1.19299160e-01,1.60786739e-01,2.16637382e-01,2.66077280e-01,2.77981641e-01,1.89790588e-01,1.35263992e-01,9.20835660e-02,6.57203827e-02,4.37741174e-02,2.49938013e-02,4.69188859e-03,1.78062095e-03,5.53843977e-04,1.53432315e-04
5.0,45.0,50.0,360.0,0.0,MEAN,5.0,2.67504478e-02,2.67504478e-02,3.61190046e-02,4.76106122e-02,5.86366493e-02,6.29912104e-02,4.67406656e-02,3.56092915e-02,2.58552123e-02,1.96693223e-02,1.39032648e-02,8.48001055e-03,1.83979696e-03,7.35031961e-04,2.46505496e-04,7.58826003e-05
5.0,45.0,100.0,360.0,0.0,MEAN,5.0,7.08403046e-03,7.08403046e-03,9.34794419e-03,1.19797296e-02,1.47612010e-02,1.62832321e-02,1.29338322e-02,1.03605848e-02,7.83442267e-03,6.22880313e-03,4.55711731e-03,2.91780936e-03,7.14644601e-04,2.98351143e-04,1.06587205e-04,3.58476306e-05
5.0,45.0,300.0,360.0,0.0,MEAN,5.0,6.56589497e-04,6.56589497e-04,8.24213442e-04,1.00307586e-03,1.23615610e-03,1.34110091e-03,1.08492282e-03,8.66344862e-04,6.33764053e-04,5.06975853e-04,3.58600004e-04,2.37976343e-04,6.98676482e-05,3.14031473e-05,1.24682250e-05,4.86133705e-06
5.0,45.0,1.0,570.0,0.0,MEAN,5.0,1.07137992e+00,1.07137992e+00,1.40646279e+00,1.96184120e+00,2.36030350e+00,2.42882456e+00,1.55522901e+00,9.01649096e-01,5.05452980e-01,3.04761808e-01,1.72261629e-01,8.60377217e-02,1.28514154e-02,4.63201803e-03,1.31814764e-03,3.20087873e-04
5.0,45.0,5.0,570.0,0.0,MEAN,5.0,5.08204411e-01,5.08204411e-01,7.06497158e-01,9.92622289e-01,1.19702851e+00,1.17053918e+00,7.23402471e-01,4.38527575e-01,2.59719967e-01,1.64262651e-01,9.73135027e-02,5.08110612e-02,8.27972502e-03,3.07290783e-03,9.11814921e-04,2.34768886e-04
5.0,45.0,10.0,570.0,0.0,MEAN,5.0,2.61252921e-01,2.61252921e-01,3.75000470e-01,5.26888671e-01,6.35428073e-01,6.05161821e-01,3.73909556e-01,2.36211002e-01,1.46380604e-01,9.63282219e-02,5.93184850e-02,3.21440857e-02,5.63856241e-03,2.14544144e-03,6.59664831e-04,1.78519837e-04
5.0,45.0,20.0,570.0,0.0,MEAN,5.0,1.04194920e-01,1.04194920e-01,1.51769644e-01,2.11156198e-01,2.54481943e-01,2.41197549e-01,1.54363901e-01,1.03214162e-01,6.76925636e-02,4.68443092e-02,3.02740570e-02,1.72051503e-02,3.32389700e-03,1.30695094e-03,4.21155342e-04,1.21711712e-04
5.0,45.0,50.0,570.0,0.0,MEAN,5.0,2.23477051e-02,2.23477051e-02,3.20487075e-02,4.32821853e-02,5.21277528e-02,5.09436550e-02,3.57207580e-02,2.60275673e-02,1.84627119e-02,1.37353389e-02,9.48583157e-03,5.78664168e-03,1.30163496e-03,5.39503205e-04,1.87448290e-04,6.01946284e-05
5.0,45.0,100.0,570.0,0.0,MEAN,5.0,5.86209215e-03,5.86209215e-03,8.18309193e-03,1.07252956e-02,1.29150505e-02,1.29749346e-02,9.75776506e-03,7.50600687e-03,5.56118577e-03,4.33142542e-03,3.10058381e-03,1.98751975e-03,5.05464657e-04,2.18985576e-04,8.10512939e-05,2.84364900e-05
5.0,45.0,300.0,570.0,0.0,MEAN,5.0,5.41645747e-04,5.41645747e-04,7.18306367e-04,8.93531047e-04,1.07589988e-03,1.06346777e-03,8.15084929e-04,6.25847848e-04,4.49003703e-04,3.52065060e-04,2.43766121e-04,1.62008299e-04,4.94126794e-05,2.30494720e-05,9.48111705e-06,3.85630403e-06
5.0,45.0,1.0,850.0,0.0,MEAN,5.0,1.15072251e+00,1.15072251e+00,1.69689801e+00,2.49751028e+00,3.01721090e+00,2.63544263e+00,1.25240475e+00,6.79396380e-01,3.74498274e-01,2.21920687e-01,1.23134653e-01,6.15814441e-02,9.50889324e-03,3.53977031e-03,1.03879964e-03,2.61699570e-04
5.0,45.0,5.0,850.0,0.0,MEAN,5.0,4.92020553e-01,4.92020553e-01,7.51728864e-01,1.10031677e+00,1.31599741e+00,1.11946561e+00,5.73916600e-01,3.30432370e-01,1.92430717e-01,1.19612364e-01,6.95608448e-02,3.63679845e-02,6.12625292e-03,2.34830431e-03,7.18578847e-04,1.91943906e-04
5.0,45.0,10.0,850.0,0.0,MEAN,5.0,2.38086901e-01,2.38086901e-01,3.68830577e-01,5.35058070e-01,6.36125171e-01,5.38861499e-01,2.94248949e-01,1.77985982e-01,1.08455753e-01,7.01440423e-02,4.24015559e-02,2.30071087e-02,4.17202979e-03,1.63953807e-03,5.19865581e-04,1.45955435e-04
5.0,45.0,20.0,850.0,0.0,MEAN,5.0,9.08995263e-02,9.08995263e-02,1.40650560e-01,2.00573458e-01,2.37422156e-01,2.04183056e-01,1.20799157e-01,7.77723047e-02,5.01545134e-02,3.41109713e-02,2.16402547e-02,1.23145753e-02,2.45938527e-03,9.98766865e-04,3.31902136e-04,9.95098705e-05
5.0,45.0,50.0,850.0,0.0,MEAN,5.0,1.90280142e-02,1.90280142e-02,2.87026426e-02,3.95567227e-02,4.67097160e-02,4.19438178e-02,2.78692075e-02,1.96118813e-02,1.36793214e-02,1.00017646e-02,6.78058481e-03,4.14178507e-03,9.63092971e-04,4.12286268e-04,1.47723374e-04,4.92143242e-05
5.0,45.0,100.0,850.0,0.0,MEAN,5.0,4.96630779e-03,4.96630779e-03,7.27646641e-03,9.72306370e-03,1.14754691e-02,1.06219588e-02,7.60827666e-03,5.65580769e-03,4.12037233e-03,3.15404647e-03,2.21633405e-03,1.42256599e-03,3.73998451e-04,1.67347933e-04,6.38745254e-05,2.32492945e-05
5.0,45.0,300.0,850.0,0.0,MEAN,5.0,4.58130457e-04,4.58130457e-04,6.37237215e-04,8.07900860e-04,9.53353791e-04,8.69001743e-04,6.35407139e-04,4.71578982e-04,3.32674093e-04,2.56365850e-04,1.74246912e-04,1.15957336e-04,3.65609451e-05,1.76143176e-05,7.47183448e-06,3.15286267e-06
5.0,45.0,1.0,1200.0,0.0,MEAN,5.0,1.08468783e+00,1.08468783e+00,1.84955919e+00,2.84112580e+00,3.32515623e+00,2.42745304e+00,1.13176369e+00,6.05526950e-01,3.31500639e-01,1.95060404e-01,1.07418599e-01,5.37502599e-02,8.41248971e-03,3.17302884e-03,9.42899644e-04,2.41118286e-04
5.0,45.0,5.0,1200.0,0.0,MEAN,5.0,4.61853524e-01,4.61853524e-01,7.71233803e-01,1.16018331e+00,1.35783877e+00,1.03111718e+00,5.18632631e-01,2.94505109e-01,1.70336982e-01,1.05135021e-01,6.06825805e-02,3.17431435e-02,5.41987783e-03,2.10500587e-03,6.52241020e-04,1.76848535e-04
5.0,45.0,10.0,1200.0,0.0,MEAN,5.0,2.22983919e-01,2.22983919e-01,3.65788954e-01,5.40563094e-01,6.32656513e-01,4.96334455e-01,2.65904674e-01,1.58633916e-01,9.60035171e-02,6.16541226e-02,3.69897151e-02,2.00813425e-02,3.69098241e-03,1.46967208e-03,4.71872583e-04,1.34476814e-04
5.0,45.0,20.0,1200.0,0.0,MEAN,5.0,8.50005737e-02,8.50005737e-02,1.36204268e-01,1.96615767e-01,2.30112353e-01,1.88068893e-01,1.09162872e-01,6.93162752e-02,4.43960745e-02,2.99823326e-02,1.88782425e-02,1.07485564e-02,2.17581087e-03,8.95288617e-04,3.01261565e-04,9.16839466e-05
5.0,45.0,50.0,1200.0,0.0,MEAN,5.0,1.77781848e-02,1.77781848e-02,2.74349431e-02,3.81398934e-02,4.46376236e-02,3.86336043e-02,2.51846355e-02,1.74795200e-02,1.21087441e-02,8.79119591e-03,5.91515794e-03,3.61508287e-03,8.52045501e-04,3.69570933e-04,1.34085834e-04,4.53438785e-05
5.0,45.0,100.0,1200.0,0.0,MEAN,5.0,4.63930477e-03,4.63930477e-03,6.93651065e-03,9.34303498e-03,1.09347678e-02,9.78367191e-03,6.87539015e-03,5.04086286e-03,3.64729602e-03,2.77229485e-03,1.93345652e-03,1.24166123e-03,3.30875323e-04,1.50009681e-04,5.79777512e-05,2.14208607e-05
5.0,45.0,300.0,1200.0,0.0,MEAN,5.0,4.27941375e-04,4.27941375e-04,6.06939481e-04,7.75470468e-04,9.07584048e-04,8.00419973e-04,5.74199938e-04,4.20305128e-04,2.94478459e-04,2.25336479e-04,1.52007243e-04,1.01211282e-04,3.23453599e-05,1.57893684e-05,6.78204899e-06,2.90490674e-06
5.0,90.0,1.0,180.0,0.0,MEAN,5.0,8.37630709e-01,8.37630709e-01,7.15725678e-01,7.99538218e-01,8.76749747e-01,7.97175112e-01,5.58342622e-01,4.43642347e-01,3.23790299e-01,2.45982861e-01,1.80769169e-01,1.19949763e-01,3.77011080e-02,1.28294838e-02,2.67975250e-03,4.36830843e-04
5.0,90.0,5.0,180.0,0.0,MEAN,5.0,5.36983331e-01,5.36983331e-01,4.93276335e-01,5.68716289e-01,6.53589692e-01,6.84148644e-01,5.13796960e-01,4.14009472e-01,3.02764756e-01,2.29476844e-01,1.65213840e-01,1.03593814e-01,2.57433055e-02,8.51115451e-03,1.85369091e-03,3.20394177e-04
5.0,90.0,10.0,180.0,0.0,MEAN,5.0,3.73640691e-01,3.73640691e-01,3.71880622e-01,4.43125107e-01,5.29613252e-01,6.07345409e-01,4.69893888e-01,3.76517913e-01,2.73375019e-01,2.06103015e-01,1.45793501e-01,8.76371021e-02,1.83281953e-02,5.94231412e-03,1.34107775e-03,2.43629883e-04
5.0,90.0,20.0,180.0,0.0,MEAN,5.0,2.09547813e-01,2.09547813e-01,2.31074391e-01,2.85562200e-01,3.54069512e-01,4.29991406e-01,3.37225116e-01,2.67995174e-01,1.94270707e-01,1.47090751e-01,1.03454672e-01,6.06817857e-02,1.12382755e-02,3.61991378e-03,8.56195498e-04,1.66102606e-04
5.0,90.0,50.0,180.0,0.0,MEAN,5.0,5.91685706e-02,5.91685706e-02,7.09597705e-02,8.91063634e-02,1.13043208e-01,1.40883757e-01,1.15183954e-01,9.40950194e-02,7.05013724e-02,5.54899513e-02,4.01735203e-02,2.41140575e-02,4.51461753e-03,1.49428339e-03,3.81076449e-04,8.21489113e-05
5.0,90.0,100.0,180.0,0.0,MEAN,5.0,1.66282131e-02,1.66282131e-02,1.99961764e-02,2.46867619e-02,3.14597945e-02,3.99187554e-02,3.44393439e-02,2.92554066e-02,2.26435505e-02,1.85117589e-02,1.37727179e-02,8.59441409e-03,1.76310818e-03,6.06533024e-04,1.64774719e-04,3.88078930e-05
5.0,90.0,300.0,180.0,0.0,MEAN,5.0,1.57295115e-03,1.57295115e-03,1.81616389e-03,2.13780805e-03,2.72814762e-03,3.39190470e-03,2.96487215e-03,2.50098980e-03,1.86748203e-03,1.53291996e-03,1.09998801e-03,7.09155810e-04,1.72678034e-04,6.38410354e-05,1.92748113e-05,5.26278152e-06
5.0,90.0,1.0,360.0,0.0,MEAN,5.0,1.37639177e+00,1.37639177e+00,1.47269581e+00,1.86376960e+00,2.17228645e+00,2.28516055e+00,1.63909722e+00,1.23199297e+00,8.33653184e-01,5.72295162e-01,3.57346032e-01,1.85850324e-01,2.61244018e-02,8.04666637e-03,1.77288599e-03,3.08030824e-04
5.0,90.0,5.0,360.0,0.0,MEAN,5.0,7.53823953e-01,7.53823953e-01,8.65492194e-01,1.11754773e+00,1.33291974e+00,1.43541068e+00,1.01673876e+00,7.45050581e-01,5.00089741e-01,3.45258989e-01,2.17886910e-01,1.15359898e-01,1.69597024e-02,5.33820549e-03,1.22637544e-03,2.25925627e-04
5.0,90.0,10.0,360.0,0.0,MEAN,5.0,4.42677441e-01,4.42677441e-01,5.42334303e-01,7.12614342e-01,8.63082936e-01,9.27761174e-01,6.47043005e-01,4.66413239e-01,3.12942265e-01,2.18286323e-01,1.39689036e-01,7.54071124e-02,1.16076608e-02,3.72702597e-03,8.87237890e-04,1.71795364e-04
5.0,90.0,20.0,360.0,0.0,MEAN,5.0,2.01305923e-01,2.01305923e-01,2.62477536e-01,3.48969784e-01,4.27322541e-01,4.54771646e-01,3.18026747e-01,2.30204388e-01,1.57311158e-01,1.12652333e-01,7.41709834e-02,4.14074000e-02,6.86946293e-03,2.27041391e-03,5.66446715e-04,1.17127083e-04
5.0,90.0,50.0,360.0,0.0,MEAN,5.0,4.72834849e-02,4.72834849e-02,6.32748829e-02,8.31105634e-02,1.02302454e-01,1.10157974e-01,8.19705351e-02,6.24739432e-02,4.50922522e-02,3.42133114e-02,2.37880714e-02,1.41373419e-02,2.69626059e-03,9.37216191e-04,2.52114737e-04,5.79272210e-05
5.0,90.0,100.0,360.0,0.0,MEAN,5.0,1.26629148e-02,1.26629148e-02,1.66685927e-02,2.13405421e-02,2.62919260e-02,2.89282707e-02,2.29203611e-02,1.83019508e-02,1.37267346e-02,1.08699143e-02,7.81392145e-03,4.87114532e-03,1.04754883e-03,3.80418181e-04,1.09012601e-04,2.73653462e-05
5.0,90.0,300.0,360.0,0.0,MEAN,5.0,1.17811406e-03,1.17811406e-03,1.47853827e-03,1.79923060e-03,2.21728321e-03,2.39515669e-03,1.92929245e-03,1.53387203e-03,1.11211675e-03,8.85677835e-04,6.15315305e-04,3.97471989e-04,1.02421388e-04,4.00411678e-05,1.27519399e-05,3.71104502e-06
5.0,90.0,1.0,570.0,0.0,MEAN,5.0,1.76752207e+00,1.76752207e+00,2.19519735e+00,3.00094199e+00,3.59821173e+00,3.92105753e+00,2.73203703e+00,1.59674972e+00,8.87097606e-01,5.32472107e-01,2.95602137e-01,1.43708339e-01,1.88394666e-02,5.90614086e-03,1.34814214e-03,2.44348519e-04
5.0,90.0,5.0,570.0,0.0,MEAN,5.0,8.49888289e-01,8.49888289e-01,1.12134833e+00,1.54619258e+00,1.86225912e+00,1.92645361e+00,1.27452290e+00,7.76597886e-01,4.55822738e-01,2.86995540e-01,1.66990638e-01,8.48694396e-02,1.21376205e-02,3.91816835e-03,9.32563300e-04,1.79217754e-04
5.0,90.0,10.0,570.0,0.0,MEAN,5.0,4.46912200e-01,4.46912200e-01,6.17272150e-01,8.55427518e-01,1.03169496e+00,1.02387365e+00,6.61052553e-01,4.18311128e-01,2.56905961e-01,1.68302228e-01,1.01790927e-01,5.36900918e-02,8.26582166e-03,2.73558506e-03,6.74675526e-04,1.36278383e-04
5.0,90.0,20.0,570.0,0.0,MEAN,5.0,1.82753314e-01,1.82753314e-01,2.60992752e-01,3.60562749e-01,4.34730583e-01,4.20040336e-01,2.73821360e-01,1.82784173e-01,1.18804149e-01,8.18451898e-02,5.19504896e-02,2.87376692e-02,4.87264978e-03,1.66645214e-03,4.30738746e-04,9.29122254e-05
5.0,90.0,50.0,570.0,0.0,MEAN,5.0,3.98947414e-02,3.98947414e-02,5.69349537e-02,7.67575044e-02,9.24598112e-02,9.04851015e-02,6.35024046e-02,4.60927770e-02,3.24030685e-02,2.39980361e-02,1.62777521e-02,9.66539617e-03,1.90812509e-03,6.87903609e-04,1.91713682e-04,4.59513450e-05
5.0,90.0,100.0,570.0,0.0,MEAN,5.0,1.05069814e-02,1.05069814e-02,1.46477843e-02,1.91893114e-02,2.31082627e-02,2.31479892e-02,1.73551496e-02,1.32925485e-02,9.76018499e-03,7.56775671e-03,5.32062309e-03,3.31974345e-03,7.40983324e-04,2.79221638e-04,8.28956188e-05,2.17078334e-05
5.0,90.0,300.0,570.0,0.0,MEAN,5.0,9.72116625e-04,9.72116625e-04,1.28901957e-03,1.60339445e-03,1.93065468e-03,1.90005967e-03,1.44993811e-03,1.10832737e-03,7.88026040e-04,6.15119149e-04,4.18304336e-04,2.70601581e-04,7.24362642e-05,2.93896585e-05,9.69686020e-06,2.94382342e-06
5.0,90.0,1.0,850.0,0.0,MEAN,5.0,2.05826709e+00,2.05826709e+00,2.89958505e+00,4.21605352e+00,5.13219076e+00,4.70935592e+00,2.22791350e+00,1.20315762e+00,6.57264939e-01,3.87734199e-01,2.11299910e-01,1.02859152e-01,1.39395133e-02,4.51345006e-03,1.06243756e-03,1.99776085e-04
5.0,90.0,5.0,850.0,0.0,MEAN,5.0,8.80795401e-01,8.80795401e-01,1.29726682e+00,1.87980513e+00,2.26321162e+00,2.00040855e+00,1.02094514e+00,5.85169769e-01,3.37726426e-01,2.08983690e-01,1.19366887e-01,6.07452470e-02,8.98074907e-03,2.99424914e-03,7.34930134e-04,1.46526042e-04
5.0,90.0,10.0,850.0,0.0,MEAN,5.0,4.26627073e-01,4.26627073e-01,6.45112896e-01,9.29535741e-01,1.11020218e+00,9.62908680e-01,5.23441970e-01,3.15199191e-01,1.90345774e-01,1.22553893e-01,7.27613610e-02,3.84286488e-02,6.11596568e-03,2.09052355e-03,5.31695140e-04,1.11419386e-04
5.0,90.0,20.0,850.0,0.0,MEAN,5.0,1.63034809e-01,1.63034809e-01,2.49421729e-01,3.54539115e-01,4.20613180e-01,3.64861170e-01,2.14890653e-01,1.37728642e-01,8.80239122e-02,5.95978244e-02,3.71348255e-02,2.05689683e-02,3.60532323e-03,1.27349629e-03,3.39454581e-04,7.59637946e-05
5.0,90.0,50.0,850.0,0.0,MEAN,5.0,3.41488880e-02,3.41488880e-02,5.13753634e-02,7.07494340e-02,8.35875277e-02,7.49507365e-02,4.95767714e-02,3.47311011e-02,2.40079567e-02,1.74748295e-02,1.16355301e-02,6.91800112e-03,1.41184120e-03,5.25693284e-04,1.51084824e-04,3.75692060e-05
5.0,90.0,100.0,850.0,0.0,MEAN,5.0,8.91404527e-03,8.91404527e-03,1.30513323e-02,1.74360911e-02,2.05815709e-02,1.89807145e-02,1.35344284e-02,1.00159911e-02,7.23147865e-03,5.51067004e-03,3.80324443e-03,2.37610424e-03,5.48261113e-04,2.13380098e-04,6.53279924e-05,1.77480346e-05
5.0,90.0,300.0,850.0,0.0,MEAN,5.0,8.22336338e-04,8.22336338e-04,1.14375481e-03,1.45004561e-03,1.71113181e-03,1.55284674e-03,1.13033119e-03,8.35129330e-04,5.83861217e-04,4.47915915e-04,2.99008896e-04,1.93682908e-04,5.35963301e-05,2.24594637e-05,7.64185633e-06,2.40683071e-06
5.0,90.0,1.0,1200.0,0.0,MEAN,5.0,1.94700488e+00,1.94700488e+00,3.31994207e+00,5.09979520e+00,5.96862545e+00,4.33769272e+00,2.01330410e+00,1.07234066e+00,5.81801741e-01,3.40804594e-01,1.84331054e-01,8.97787672e-02,1.23322462e-02,4.04582951e-03,9.64355357e-04,1.84064755e-04
5.0,90.0,5.0,1200.0,0.0,MEAN,5.0,8.29022913e-01,8.29022913e-01,1.38435772e+00,2.08251858e+00,2.43730835e+00,1.84253595e+00,9.22600019e-01,5.21545412e-01,2.98950714e-01,1.83689243e-01,1.04131725e-01,5.30204001e-02,7.94524213e-03,2.68402694e-03,6.67082787e-04,1.35002545e-04
5.0,90.0,10.0,1200.0,0.0,MEAN,5.0,4.00254125e-01,4.00254125e-01,6.56587876e-01,9.70305882e-01,1.13561274e+00,8.86915757e-01,4.73020097e-01,2.80928204e-01,1.68491420e-01,1.07720520e-01,6.34746050e-02,3.35417574e-02,5.41077674e-03,1.87393275e-03,4.82610060e-04,1.02656842e-04
5.0,90.0,20.0,1200.0,0.0,MEAN,5.0,1.52575264e-01,1.52575264e-01,2.44485434e-01,3.52923529e-01,4.13049599e-01,3.36066262e-01,1.94190767e-01,1.22753678e-01,7.79175372e-02,5.23843715e-02,3.23951937e-02,1.79532553e-02,3.18961879e-03,1.14155443e-03,3.08116782e-04,6.99896448e-05
5.0,90.0,50.0,1200.0,0.0,MEAN,5.0,3.19116814e-02,3.19116814e-02,4.92454756e-02,6.84607648e-02,8.01241320e-02,6.90356112e-02,4.48011634e-02,3.09548569e-02,2.12515078e-02,1.53597547e-02,1.01504516e-02,6.03825329e-03,1.24905173e-03,4.71228301e-04,1.37136961e-04,3.46145870e-05
5.0,90.0,100.0,1200.0,0.0,MEAN,5.0,8.32751023e-03,8.32751023e-03,1.24509741e-02,1.67706636e-02,1.96278097e-02,1.74827532e-02,1.22306903e-02,8.92697213e-03,6.40120386e-03,4.84368330e-03,3.31782466e-03,2.07394000e-03,4.85044984e-04,1.91272638e-04,5.92970369e-05,1.63522458e-05
5.0,90.0,300.0,1200.0,0.0,MEAN,5.0,7.68150910e-04,7.68150910e-04,1.08945090e-03,1.39196250e-03,1.62910519e-03,1.43029580e-03,1.02144918e-03,7.44327363e-04,5.16825791e-04,3.93702185e-04,2.60845472e-04,1.69052655e-04,4.74165146e-05,2.01325283e-05,6.93637474e-06,2.21754623e-06
5.0,135.0,1.0,180.0,0.0,MEAN,5.0,1.06123183e+00,1.06123183e+00,8.78483945e-01,9.63041620e-01,1.03705407e+00,8.98310825e-01,6.23990097e-01,5.00564226e-01,3.69692484e-01,2.85197228e-01,2.12579292e-01,1.44329975e-01,4.74977422e-02,1.50856799e-02,2.72025177e-03,3.64871791e-04
5.0,135.0,5.0,180.0,0.0,MEAN,5.0,6.51985721e-01,6.51985721e-01,5.71735299e-01,6.42518408e-01,7.22228058e-01,7.20872335e-01,5.43427715e-01,4.47168907e-01,3.33708699e-01,2.58335430e-01,1.89717879e-01,1.22438622e-01,3.23440517e-02,1.00079282e-02,1.88170587e-03,2.67615712e-04
5.0,135.0,10.0,180.0,0.0,MEAN,5.0,4.55251855e-01,4.55251855e-01,4.29434861e-01,4.97931908e-01,5.83194221e-01,6.49347047e-01,5.11528980e-01,4.21324860e-01,3.12750661e-01,2.40703444e-01,1.73205756e-01,1.06479582e-01,2.31251282e-02,6.98733092e-03,1.36134555e-03,2.03496784e-04
5.0,135.0,20.0,180.0,0.0,MEAN,5.0,2.69871864e-01,2.69871864e-01,2.83655294e-01,3.42845248e-01,4.19894550e-01,5.08685386e-01,4.08796354e-01,3.32541584e-01,2.44662431e-01,1.87677055e-01,1.32855725e-01,7.84118247e-02,1.43137858e-02,4.25651269e-03,8.69135236e-04,1.38740559e-04
5.0,135.0,50.0,180.0,0.0,MEAN,5.0,8.35797521e-02,8.35797521e-02,9.82763134e-02,1.22364308e-01,1.54775852e-01,1.93788903e-01,1.59917968e-01,1.31474992e-01,9.85756206e-02,7.77290778e-02,5.58980846e-02,3.31738962e-02,5.80545495e-03,1.75706843e-03,3.86835682e-04,6.86165385e-05
5.0,135.0,100.0,180.0,0.0,MEAN,5.0,2.42437032e-02,2.42437032e-02,2.89757489e-02,3.56798136e-02,4.54349881e-02,5.76460493e-02,4.97737811e-02,4.22715638e-02,3.25847194e-02,2.65955210e-02,1.95799717e-02,1.20223782e-02,2.27301741e-03,7.13198068e-04,1.67264970e-04,3.24150770e-05
5.0,135.0,300.0,180.0,0.0,MEAN,5.0,2.32034456e-03,2.32034456e-03,2.67750951e-03,3.15089973e-03,4.02072723e-03,4.98549851e-03,4.34640147e-03,3.65635243e-03,2.71435165e-03,2.22168547e-03,1.57543397e-03,9.97727090e-04,2.22814082e-04,7.50681353e-05,1.95661128e-05,4.39584463e-06
5.0,135.0,1.0,360.0,0.0,MEAN,5.0,1.83440692e+00,1.83440692e+00,1.89817395e+00,2.36490235e+00,2.72839622e+00,2.85813788e+00,2.10990453e+00,1.63632706e+00,1.13068053e+00,7.88381279e-01,4.94430562e-01,2.55652190e-01,3.35935216e-02,9.46175506e-03,1.79967973e-03,2.57288971e-04
5.0,135.0,5.0,360.0,0.0,MEAN,5.0,9.91063554e-01,9.91063554e-01,1.08879651e+00,1.37877783e+00,1.62768936e+00,1.76688572e+00,1.30223213e+00,9.89553991e-01,6.79376592e-01,4.76540013e-01,3.01988180e-01,1.58886900e-01,2.18127825e-02,6.27698360e-03,1.24490973e-03,1.88708946e-04
