rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pga,0.05,0.1,0.3,0.5,1.0,2.0,5.0
4.5,20.0,100.0,200.0,MEAN,5.0,5.84831187e-03,7.78150950e-03,1.12316021e-02,1.04891836e-02,6.94767107e-03,1.94537827e-03,3.35760802e-04,7.27098614e-05
4.5,20.0,200.0,200.0,MEAN,5.0,1.15783692e-03,1.36352316e-03,1.92186478e-03,2.29391559e-03,1.69222391e-03,5.49363066e-04,1.15791298e-04,2.64737498e-05
4.5,20.0,500.0,200.0,MEAN,5.0,5.26854966e-05,4.40931860e-05,4.95228862e-05,1.28046479e-04,1.48051396e-04,7.13061140e-05,2.02088863e-05,4.66791860e-06
4.5,20.0,5.0,360.0,MEAN,5.0,7.94558314e-01,1.28758064e+00,1.44177120e+00,1.02072448e+00,5.86583784e-01,1.04310687e-01,1.08709971e-02,1.81891000e-03
4.5,20.0,20.0,360.0,MEAN,5.0,9.68127563e-02,1.52829617e-01,2.08773743e-01,1.44613586e-01,6.99545731e-02,1.30152788e-02,1.94953600e-03,4.04218054e-04
4.5,20.0,50.0,360.0,MEAN,5.0,2.05787775e-02,3.09568224e-02,4.64294743e-02,3.37345883e-02,1.54715807e-02,3.08455838e-03,5.89972958e-04,1.37321621e-04
4.5,20.0,100.0,360.0,MEAN,5.0,5.42031023e-03,7.61980168e-03,1.18429343e-02,9.61519432e-03,4.47455321e-03,9.73805627e-04,2.25292376e-04,5.64568721e-05
4.5,20.0,200.0,360.0,MEAN,5.0,1.07310203e-03,1.33518773e-03,2.02647119e-03,2.10277988e-03,1.08985383e-03,2.74996823e-04,7.76948841e-05,2.05560164e-05
4.5,20.0,500.0,360.0,MEAN,5.0,4.88297721e-05,4.31768839e-05,5.22183993e-05,1.17377274e-04,9.53504913e-05,3.56939810e-05,1.35599748e-05,3.62448887e-06
4.5,20.0,5.0,570.0,MEAN,5.0,7.94558314e-01,1.28758064e+00,1.44177120e+00,1.02072448e+00,5.86583784e-01,1.04310687e-01,1.08709971e-02,1.81891000e-03
4.5,20.0,20.0,570.0,MEAN,5.0,9.68127563e-02,1.52829617e-01,2.08773743e-01,1.44613586e-01,6.99545731e-02,1.30152788e-02,1.94953600e-03,4.04218054e-04
4.5,20.0,50.0,570.0,MEAN,5.0,2.05787775e-02,3.09568224e-02,4.64294743e-02,3.37345883e-02,1.54715807e-02,3.08455838e-03,5.89972958e-04,1.37321621e-04
4.5,20.0,100.0,570.0,MEAN,5.0,5.42031023e-03,7.61980168e-03,1.18429343e-02,9.61519432e-03,4.47455321e-03,9.73805627e-04,2.25292376e-04,5.64568721e-05
4.5,20.0,200.0,570.0,MEAN,5.0,1.07310203e-03,1.33518773e-03,2.02647119e-03,2.10277988e-03,1.08985383e-03,2.74996823e-04,7.76948841e-05,2.05560164e-05
4.5,20.0,500.0,570.0,MEAN,5.0,4.88297721e-05,4.31768839e-05,5.22183993e-05,1.17377274e-04,9.53504913e-05,3.56939810e-05,1.35599748e-05,3.62448887e-06
4.5,20.0,5.0,800.0,MEAN,5.0,6.29412208e-01,1.15461272e+00,1.33893210e+00,6.12327903e-01,3.76273214e-01,7.16199609e-02,7.50146568e-03,1.35288239e-03
4.5,20.0,20.0,800.0,MEAN,5.0,7.66905709e-02,1.37046966e-01,1.93882266e-01,8.67530223e-02,4.48734396e-02,8.93632079e-03,1.34526550e-03,3.00652307e-04
4.5,20.0,50.0,800.0,MEAN,5.0,1.63015521e-02,2.77599243e-02,4.31177386e-02,2.02372238e-02,9.92448400e-03,2.11786498e-03,4.07107266e-04,1.02138095e-04
4.5,20.0,100.0,800.0,MEAN,5.0,4.29371812e-03,6.83290794e-03,1.09981978e-02,5.76811068e-03,2.87027116e-03,6.68617216e-04,1.55461639e-04,4.19919117e-05
4.5,20.0,200.0,800.0,MEAN,5.0,8.50061605e-04,1.19730345e-03,1.88192644e-03,1.26144794e-03,6.99103546e-04,1.88813460e-04,5.36128840e-05,1.52893066e-05
4.5,20.0,500.0,800.0,MEAN,5.0,3.86806785e-05,3.87180252e-05,4.84937494e-05,7.04140849e-05,6.11640431e-05,2.45075706e-05,9.35697847e-06,2.69584925e-06
4.5,100.0,5.0,200.0,MEAN,5.0,2.65284089e+00,4.23831160e+00,4.26854217e+00,3.57481222e+00,2.22056181e+00,4.65621848e-01,3.15476287e-02,3.52273409e-03
4.5,100.0,20.0,200.0,MEAN,5.0,3.23234726e-01,5.03067163e-01,6.18100520e-01,5.06470084e-01,2.64818868e-01,5.80975771e-02,5.65755258e-03,7.82860461e-04
4.5,100.0,50.0,200.0,MEAN,5.0,6.87076347e-02,1.01900150e-01,1.37460208e-01,1.18146298e-01,5.85689583e-02,1.37688459e-02,1.71210126e-03,2.65954642e-04
4.5,100.0,100.0,200.0,MEAN,5.0,1.80971244e-02,2.50819971e-02,3.50624734e-02,3.36746251e-02,1.69387942e-02,4.34687173e-03,6.53798374e-04,1.09341610e-04
4.5,100.0,200.0,200.0,MEAN,5.0,3.58283198e-03,4.39501923e-03,5.99961891e-03,7.36441947e-03,4.12573253e-03,1.22753030e-03,2.25470519e-04,3.98114145e-05
4.5,100.0,500.0,200.0,MEAN,5.0,1.63030975e-04,1.42124759e-04,1.54599038e-04,4.11082248e-04,3.60957234e-04,1.59330725e-04,3.93510409e-05,7.01964942e-06
4.5,100.0,5.0,360.0,MEAN,5.0,2.45869593e+00,4.15023510e+00,4.50087741e+00,3.27694848e+00,1.43012268e+00,2.33078153e-01,2.11681655e-02,2.73528988e-03
4.5,100.0,20.0,360.0,MEAN,5.0,2.99579183e-01,4.92612907e-01,6.51743512e-01,4.64269526e-01,1.70552996e-01,2.90821319e-02,3.79616518e-03,6.07866004e-04
4.5,100.0,50.0,360.0,MEAN,5.0,6.36793494e-02,9.97825590e-02,1.44942119e-01,1.08302005e-01,3.77205423e-02,6.89232516e-03,1.14880403e-03,2.06505237e-04
4.5,100.0,100.0,360.0,MEAN,5.0,1.67727082e-02,2.45607673e-02,3.69709114e-02,3.08687575e-02,1.09092004e-02,2.17593062e-03,4.38692629e-04,8.49002485e-05
4.5,100.0,200.0,360.0,MEAN,5.0,3.32062675e-03,4.30368618e-03,6.32617604e-03,6.75079465e-03,2.65712201e-03,6.14469655e-04,1.51288621e-04,3.09122847e-05
4.5,100.0,500.0,360.0,MEAN,5.0,1.51099749e-04,1.39171260e-04,1.63013808e-04,3.76829681e-04,2.32469605e-04,7.97568055e-05,2.64041825e-05,5.45053232e-06
4.5,100.0,5.0,570.0,MEAN,5.0,2.45869593e+00,4.15023510e+00,4.50087741e+00,3.27694848e+00,1.43012268e+00,2.33078153e-01,2.11681655e-02,2.73528988e-03
4.5,100.0,20.0,570.0,MEAN,5.0,2.99579183e-01,4.92612907e-01,6.51743512e-01,4.64269526e-01,1.70552996e-01,2.90821319e-02,3.79616518e-03,6.07866004e-04
4.5,100.0,50.0,570.0,MEAN,5.0,6.36793494e-02,9.97825590e-02,1.44942119e-01,1.08302005e-01,3.77205423e-02,6.89232516e-03,1.14880403e-03,2.06505237e-04
4.5,100.0,100.0,570.0,MEAN,5.0,1.67727082e-02,2.45607673e-02,3.69709114e-02,3.08687575e-02,1.09092004e-02,2.17593062e-03,4.38692629e-04,8.49002485e-05
4.5,100.0,200.0,570.0,MEAN,5.0,3.32062675e-03,4.30368618e-03,6.32617604e-03,6.75079465e-03,2.65712201e-03,6.14469655e-04,1.51288621e-04,3.09122847e-05
4.5,100.0,500.0,570.0,MEAN,5.0,1.51099749e-04,1.39171260e-04,1.63013808e-04,3.76829681e-04,2.32469605e-04,7.97568055e-05,2.64041825e-05,5.45053232e-06
4.5,100.0,5.0,800.0,MEAN,5.0,1.94766477e+00,3.72164205e+00,4.17983745e+00,1.96582627e+00,9.17374249e-01,1.60032004e-01,1.46069644e-02,2.03447422e-03
4.5,100.0,20.0,800.0,MEAN,5.0,2.37312720e-01,4.41740978e-01,6.05255751e-01,2.78513145e-01,1.09403849e-01,1.99678596e-02,2.61952078e-03,4.52123092e-04
4.5,100.0,50.0,800.0,MEAN,5.0,5.04438242e-02,8.94780558e-02,1.34603643e-01,6.49698730e-02,2.41964235e-02,4.73228653e-03,7.92725258e-04,1.53595999e-04
4.5,100.0,100.0,800.0,MEAN,5.0,1.32865607e-02,2.20243871e-02,3.43338389e-02,1.85180251e-02,6.99787482e-03,1.49399904e-03,3.02717191e-04,6.31477375e-05
4.5,100.0,200.0,800.0,MEAN,5.0,2.63044634e-03,3.85924631e-03,5.87494061e-03,4.04977054e-03,1.70445189e-03,4.21896299e-04,1.04395797e-04,2.29921687e-05
4.5,100.0,500.0,800.0,MEAN,5.0,1.19694206e-04,1.24799102e-04,1.51386309e-04,2.26058386e-04,1.49121213e-04,5.47612088e-05,1.82200462e-05,4.05403741e-06
4.5,150.0,5.0,200.0,MEAN,5.0,3.77587106e+00,6.10992796e+00,6.09227977e+00,5.14699294e+00,2.93368770e+00,5.98618092e-01,3.88515676e-02,4.00177262e-03
4.5,150.0,20.0,200.0,MEAN,5.0,4.60070052e-01,7.25219006e-01,8.82184394e-01,7.29212553e-01,3.49864548e-01,7.46920724e-02,6.96739488e-03,8.89317638e-04
4.5,150.0,50.0,200.0,MEAN,5.0,9.77937163e-02,1.46898726e-01,1.96190177e-01,1.70106323e-01,7.73781805e-02,1.77016613e-02,2.10848868e-03,3.02120449e-04
4.5,150.0,100.0,200.0,MEAN,5.0,2.57582007e-02,3.61580766e-02,5.00429394e-02,4.84845208e-02,2.23786305e-02,5.58847501e-03,8.05166434e-04,1.24210415e-04
4.5,150.0,200.0,200.0,MEAN,5.0,5.09955634e-03,6.33583687e-03,8.56296023e-03,1.06032465e-02,5.45069752e-03,1.57815157e-03,2.77671681e-04,4.52251645e-05
4.5,150.0,500.0,200.0,MEAN,5.0,2.32047063e-04,2.04886314e-04,2.20651583e-04,5.91873726e-04,4.76877424e-04,2.04840591e-04,4.84616336e-05,7.97421552e-06
4.5,150.0,5.0,360.0,MEAN,5.0,3.49953850e+00,5.98295733e+00,6.42388039e+00,4.71813054e+00,1.88940173e+00,2.99652605e-01,2.60690406e-02,3.10724791e-03
4.5,150.0,20.0,360.0,MEAN,5.0,4.26400381e-01,7.10148204e-01,9.30201378e-01,6.68452445e-01,2.25325512e-01,3.73889034e-02,4.67505718e-03,6.90526583e-04
4.5,150.0,50.0,360.0,MEAN,5.0,9.06368012e-02,1.43846018e-01,2.06868739e-01,1.55932570e-01,4.98343664e-02,8.86099000e-03,1.41477630e-03,2.34586825e-04
4.5,150.0,100.0,360.0,MEAN,5.0,2.38731179e-02,3.54066743e-02,5.27667588e-02,4.44446498e-02,1.44126531e-02,2.79744484e-03,5.40259191e-04,9.64453976e-05
4.5,150.0,200.0,360.0,MEAN,5.0,4.72635146e-03,6.20417162e-03,9.02903912e-03,9.71975316e-03,3.51044772e-03,7.89981514e-04,1.86315116e-04,3.51158877e-05
4.5,150.0,500.0,360.0,MEAN,5.0,2.15064979e-04,2.00628564e-04,2.32661570e-04,5.42557088e-04,3.07126429e-04,1.02537858e-04,3.25173055e-05,6.19172223e-06
4.5,150.0,5.0,570.0,MEAN,5.0,3.49953850e+00,5.98295733e+00,6.42388039e+00,4.71813054e+00,1.88940173e+00,2.99652605e-01,2.60690406e-02,3.10724791e-03
4.5,150.0,20.0,570.0,MEAN,5.0,4.26400381e-01,7.10148204e-01,9.30201378e-01,6.68452445e-01,2.25325512e-01,3.73889034e-02,4.67505718e-03,6.90526583e-04
4.5,150.0,50.0,570.0,MEAN,5.0,9.06368012e-02,1.43846018e-01,2.06868739e-01,1.55932570e-01,4.98343664e-02,8.86099000e-03,1.41477630e-03,2.34586825e-04
4.5,150.0,100.0,570.0,MEAN,5.0,2.38731179e-02,3.54066743e-02,5.27667588e-02,4.44446498e-02,1.44126531e-02,2.79744484e-03,5.40259191e-04,9.64453976e-05
4.5,150.0,200.0,570.0,MEAN,5.0,4.72635146e-03,6.20417162e-03,9.02903912e-03,9.71975316e-03,3.51044772e-03,7.89981514e-04,1.86315116e-04,3.51158877e-05
4.5,150.0,500.0,570.0,MEAN,5.0,2.15064979e-04,2.00628564e-04,2.32661570e-04,5.42557088e-04,3.07126429e-04,1.02537858e-04,3.25173055e-05,6.19172223e-06
4.5,150.0,5.0,800.0,MEAN,5.0,2.77217192e+00,5.36509982e+00,5.96567588e+00,2.83038473e+00,1.21198587e+00,2.05742177e-01,1.79887835e-02,2.31113193e-03
4.5,150.0,20.0,800.0,MEAN,5.0,3.37774585e-01,6.36811496e-01,8.63851689e-01,4.01001536e-01,1.44538524e-01,2.56713083e-02,3.22599488e-03,5.13604991e-04
4.5,150.0,50.0,800.0,MEAN,5.0,7.17982659e-02,1.28991100e-01,1.92113142e-01,9.35432288e-02,3.19670228e-02,6.08397641e-03,9.76257812e-04,1.74482731e-04
4.5,150.0,100.0,800.0,MEAN,5.0,1.89111756e-02,3.17502419e-02,4.90029953e-02,2.66621402e-02,9.24521857e-03,1.92073215e-03,3.72802581e-04,7.17348742e-05
4.5,150.0,200.0,800.0,MEAN,5.0,3.74399620e-03,5.56346940e-03,8.38501305e-03,5.83083505e-03,2.25183083e-03,5.42403151e-04,1.28565617e-04,2.61187558e-05
4.5,150.0,500.0,800.0,MEAN,5.0,1.70364492e-04,1.79909736e-04,2.16066215e-04,3.25477493e-04,1.97010984e-04,7.04027323e-05,2.24383697e-05,4.60532516e-06
5.0,5.0,5.0,200.0,MEAN,5.0,1.03363336e+00,1.46583943e+00,1.48723995e+00,1.38155096e+00,1.33957534e+00,3.97436430e-01,3.75550594e-02,5.03485892e-03
5.0,5.0,20.0,200.0,MEAN,5.0,1.33866137e-01,1.86737794e-01,2.35442038e-01,2.09255281e-01,1.67311458e-01,5.11305022e-02,6.92158764e-03,1.17930724e-03
5.0,5.0,50.0,200.0,MEAN,5.0,2.88638618e-02,3.84773145e-02,5.35661929e-02,4.96207110e-02,3.73926409e-02,1.21975722e-02,2.10691026e-03,4.05483897e-04
5.0,5.0,100.0,200.0,MEAN,5.0,7.64017506e-03,9.52759103e-03,1.37739873e-02,1.42246256e-02,1.08532479e-02,3.85939883e-03,8.06157701e-04,1.67397463e-04
5.0,5.0,200.0,200.0,MEAN,5.0,1.51637894e-03,1.67455855e-03,2.36665045e-03,3.11995539e-03,2.64829433e-03,1.09109244e-03,2.78290399e-04,6.10774130e-05
5.0,5.0,500.0,200.0,MEAN,5.0,6.91049222e-05,5.42510278e-05,6.11373982e-05,1.74465512e-04,2.31951138e-04,1.41716925e-04,4.85987234e-05,1.07829545e-05
5.0,5.0,5.0,360.0,MEAN,5.0,9.57988151e-01,1.43537777e+00,1.56818990e+00,1.26643612e+00,8.62735310e-01,1.98946311e-01,2.51990957e-02,3.90940624e-03
5.0,5.0,20.0,360.0,MEAN,5.0,1.24069305e-01,1.82857190e-01,2.48257065e-01,1.91819523e-01,1.07754672e-01,2.55945959e-02,4.64432095e-03,9.15694193e-04
5.0,5.0,50.0,360.0,MEAN,5.0,2.67514949e-02,3.76777161e-02,5.64817818e-02,4.54861693e-02,2.40822227e-02,6.10578652e-03,1.41371720e-03,3.14845222e-04
5.0,5.0,100.0,360.0,MEAN,5.0,7.08103807e-03,9.32959782e-03,1.45237005e-02,1.30393885e-02,6.98988695e-03,1.93191440e-03,5.40924321e-04,1.29978753e-04
5.0,5.0,200.0,360.0,MEAN,5.0,1.40540457e-03,1.63975949e-03,2.49546640e-03,2.85999164e-03,1.70559800e-03,5.46172421e-04,1.86730270e-04,4.74246495e-05
5.0,5.0,500.0,360.0,MEAN,5.0,6.40475618e-05,5.31236353e-05,6.44650851e-05,1.59928539e-04,1.49384981e-04,7.09397966e-05,3.26092915e-05,8.37261782e-06
5.0,5.0,5.0,570.0,MEAN,5.0,9.57988151e-01,1.43537777e+00,1.56818990e+00,1.26643612e+00,8.62735310e-01,1.98946311e-01,2.51990957e-02,3.90940624e-03
5.0,5.0,20.0,570.0,MEAN,5.0,1.24069305e-01,1.82857190e-01,2.48257065e-01,1.91819523e-01,1.07754672e-01,2.55945959e-02,4.64432095e-03,9.15694193e-04
5.0,5.0,50.0,570.0,MEAN,5.0,2.67514949e-02,3.76777161e-02,5.64817818e-02,4.54861693e-02,2.40822227e-02,6.10578652e-03,1.41371720e-03,3.14845222e-04
5.0,5.0,100.0,570.0,MEAN,5.0,7.08103807e-03,9.32959782e-03,1.45237005e-02,1.30393885e-02,6.98988695e-03,1.93191440e-03,5.40924321e-04,1.29978753e-04
5.0,5.0,200.0,570.0,MEAN,5.0,1.40540457e-03,1.63975949e-03,2.49546640e-03,2.85999164e-03,1.70559800e-03,5.46172421e-04,1.86730270e-04,4.74246495e-05
5.0,5.0,500.0,570.0,MEAN,5.0,6.40475618e-05,5.31236353e-05,6.44650851e-05,1.59928539e-04,1.49384981e-04,7.09397966e-05,3.26092915e-05,8.37261782e-06
5.0,5.0,5.0,800.0,MEAN,5.0,7.58873737e-01,1.28714691e+00,1.45633357e+00,7.59729183e-01,5.53414868e-01,1.36597001e-01,1.73884833e-02,2.90776721e-03
5.0,5.0,20.0,800.0,MEAN,5.0,9.82819436e-02,1.63973604e-01,2.30549309e-01,1.15071647e-01,6.91208963e-02,1.75733093e-02,3.20478553e-03,6.81081828e-04
5.0,5.0,50.0,800.0,MEAN,5.0,2.11912923e-02,3.37867540e-02,5.24530320e-02,2.72869429e-02,1.54479131e-02,4.19224727e-03,9.75526986e-04,2.34177918e-04
5.0,5.0,100.0,800.0,MEAN,5.0,5.60926961e-03,8.36613415e-03,1.34877496e-02,7.82226895e-03,4.48377077e-03,1.32645693e-03,3.73261551e-04,9.66765626e-05
5.0,5.0,200.0,800.0,MEAN,5.0,1.11329626e-03,1.47042221e-03,2.31746900e-03,1.71569578e-03,1.09408214e-03,3.75003259e-04,1.28852091e-04,3.52738581e-05
5.0,5.0,500.0,800.0,MEAN,5.0,5.07355050e-05,4.76375797e-05,5.98668998e-05,9.59403920e-05,9.58252994e-05,4.87074299e-05,2.25018440e-05,6.22744787e-06
5.0,20.0,5.0,200.0,MEAN,5.0,1.10924558e+00,1.57708478e+00,1.59691241e+00,1.48602795e+00,1.41630682e+00,4.17917897e-01,3.91522584e-02,5.16489879e-03
5.0,20.0,20.0,200.0,MEAN,5.0,1.43658697e-01,2.00909682e-01,2.52804070e-01,2.25079787e-01,1.76895134e-01,5.37654588e-02,7.21595951e-03,1.20976627e-03
5.0,20.0,50.0,200.0,MEAN,5.0,3.09753075e-02,4.13974313e-02,5.75162859e-02,5.33731765e-02,3.95345083e-02,1.28261612e-02,2.19651617e-03,4.15956697e-04
5.0,20.0,100.0,200.0,MEAN,5.0,8.19906822e-03,1.02506581e-02,1.47897125e-02,1.53003340e-02,1.14749269e-02,4.05828889e-03,8.40443209e-04,1.71720989e-04
5.0,20.0,200.0,200.0,MEAN,5.0,1.62730491e-03,1.80164400e-03,2.54117264e-03,3.35589568e-03,2.79998982e-03,1.14732074e-03,2.90125959e-04,6.26549147e-05
5.0,20.0,500.0,200.0,MEAN,5.0,7.41600771e-05,5.83682419e-05,6.56458090e-05,1.87659112e-04,2.45237404e-04,1.49020158e-04,5.06656042e-05,1.10614556e-05
5.0,20.0,5.0,360.0,MEAN,5.0,1.02806678e+00,1.54431133e+00,1.68383179e+00,1.36220778e+00,9.12153178e-01,2.09198800e-01,2.62708013e-02,4.01037802e-03
5.0,20.0,20.0,360.0,MEAN,5.0,1.33145208e-01,1.96734571e-01,2.66564106e-01,2.06325485e-01,1.13926909e-01,2.69135864e-02,4.84184173e-03,9.39344656e-04
5.0,20.0,50.0,360.0,MEAN,5.0,2.87084170e-02,4.05371498e-02,6.06468769e-02,4.89259684e-02,2.54616632e-02,6.42044180e-03,1.47384192e-03,3.22977015e-04
5.0,20.0,100.0,360.0,MEAN,5.0,7.59902931e-03,1.00376388e-02,1.55947113e-02,1.40254657e-02,7.39027083e-03,2.03147357e-03,5.63929578e-04,1.33335832e-04
5.0,20.0,200.0,360.0,MEAN,5.0,1.50821256e-03,1.76420397e-03,2.67948777e-03,3.07627270e-03,1.80329542e-03,5.74318842e-04,1.94671820e-04,4.86495289e-05
5.0,20.0,500.0,360.0,MEAN,5.0,6.87327613e-05,5.71552894e-05,6.92188871e-05,1.72022810e-04,1.57941820e-04,7.45956043e-05,3.39961493e-05,8.58886501e-06
5.0,20.0,5.0,570.0,MEAN,5.0,1.02806678e+00,1.54431133e+00,1.68383179e+00,1.36220778e+00,9.12153178e-01,2.09198800e-01,2.62708013e-02,4.01037802e-03
5.0,20.0,20.0,570.0,MEAN,5.0,1.33145208e-01,1.96734571e-01,2.66564106e-01,2.06325485e-01,1.13926909e-01,2.69135864e-02,4.84184173e-03,9.39344656e-04
5.0,20.0,50.0,570.0,MEAN,5.0,2.87084170e-02,4.05371498e-02,6.06468769e-02,4.89259684e-02,2.54616632e-02,6.42044180e-03,1.47384192e-03,3.22977015e-04
5.0,20.0,100.0,570.0,MEAN,5.0,7.59902931e-03,1.00376388e-02,1.55947113e-02,1.40254657e-02,7.39027083e-03,2.03147357e-03,5.63929578e-04,1.33335832e-04
5.0,20.0,200.0,570.0,MEAN,5.0,1.50821256e-03,1.76420397e-03,2.67948777e-03,3.07627270e-03,1.80329542e-03,5.74318842e-04,1.94671820e-04,4.86495289e-05
5.0,20.0,500.0,570.0,MEAN,5.0,6.87327613e-05,5.71552894e-05,6.92188871e-05,1.72022810e-04,1.57941820e-04,7.45956043e-05,3.39961493e-05,8.58886501e-06
5.0,20.0,5.0,800.0,MEAN,5.0,8.14386777e-01,1.38483094e+00,1.56372692e+00,8.17182160e-01,5.85114722e-01,1.43636384e-01,1.81280073e-02,2.98286875e-03
5.0,20.0,20.0,800.0,MEAN,5.0,1.05471452e-01,1.76417874e-01,2.47550539e-01,1.23773706e-01,7.30801725e-02,1.84789312e-02,3.34108355e-03,6.98672746e-04
5.0,20.0,50.0,800.0,MEAN,5.0,2.27414751e-02,3.63508953e-02,5.63210379e-02,2.93504626e-02,1.63327765e-02,4.40829032e-03,1.01701569e-03,2.40226244e-04
5.0,20.0,100.0,800.0,MEAN,5.0,6.01959822e-03,9.00105604e-03,1.44823669e-02,8.41381215e-03,4.74060319e-03,1.39481450e-03,3.89136189e-04,9.91735158e-05
