rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,pgv,pga,0.05,0.1,0.3,0.5,1.0,2.0,5.0
4.5,0.0,50.0,360.0,MEAN,5.0,8.20587442e-01,1.62151533e-02,2.32664512e-02,2.89638298e-02,1.05163026e-02,4.81236967e-03,1.15062070e-03,2.70245178e-04,3.73280687e-05
4.5,0.0,100.0,360.0,MEAN,5.0,3.28513405e-01,4.10043713e-03,6.74742015e-03,9.27924724e-03,4.16325854e-03,1.90249906e-03,4.47727972e-04,1.06223887e-04,1.62004626e-05
4.5,0.0,200.0,360.0,MEAN,5.0,1.38177270e-01,5.94294752e-04,1.33752828e-03,2.23039042e-03,1.37329181e-03,6.88015229e-04,1.71225713e-04,4.17376147e-05,6.22434869e-06
4.5,0.0,0.0,570.0,MEAN,5.0,2.35099990e+01,7.26719285e-01,1.12559843e+00,1.06293269e+00,1.64901646e-01,9.75240531e-02,2.94834326e-02,6.53763081e-03,3.85648195e-04
4.5,0.0,1.0,570.0,MEAN,5.0,2.09187361e+01,5.93952583e-01,9.10613767e-01,9.06583873e-01,1.48255239e-01,8.70222542e-02,2.62312380e-02,5.85279503e-03,3.52738073e-04
4.5,0.0,5.0,570.0,MEAN,5.0,9.35571148e+00,2.29923802e-01,3.33390329e-01,3.73527281e-01,7.84381356e-02,4.21743622e-02,1.19935073e-02,2.76345399e-03,2.09181168e-04
4.5,0.0,20.0,570.0,MEAN,5.0,2.01868458e+00,5.19033091e-02,7.34177754e-02,8.67934254e-02,2.34787845e-02,1.09071535e-02,2.71653082e-03,6.28207122e-04,6.91850497e-05
4.5,0.0,50.0,570.0,MEAN,5.0,6.13480786e-01,1.32654058e-02,1.98056881e-02,2.49864855e-02,8.29271547e-03,3.59778395e-03,8.34125762e-04,1.93228033e-04,2.64457723e-05
4.5,0.0,100.0,570.0,MEAN,5.0,2.45600470e-01,3.35451422e-03,5.74377664e-03,8.00501100e-03,3.28297120e-03,1.42233059e-03,3.24573889e-04,7.59511525e-05,1.14775224e-05
4.5,0.0,200.0,570.0,MEAN,5.0,1.03302946e-01,4.86184798e-04,1.13857793e-03,1.92411080e-03,1.08292037e-03,5.14368246e-04,1.24127593e-04,2.98428163e-05,4.40975689e-06
4.5,0.0,0.0,800.0,MEAN,5.0,1.93385966e+01,6.55449480e-01,1.03540525e+00,9.93775756e-01,1.44750582e-01,8.02202638e-02,2.32555949e-02,5.10450162e-03,2.99074892e-04
4.5,0.0,1.0,800.0,MEAN,5.0,1.71597981e+01,5.32273142e-01,8.33430026e-01,8.42558626e-01,1.29305089e-01,7.13850159e-02,2.06903671e-02,4.56979027e-03,2.73552690e-04
4.5,0.0,5.0,800.0,MEAN,5.0,7.57942393e+00,2.00136462e-01,2.98233286e-01,3.37891189e-01,6.64495949e-02,3.41670829e-02,9.46009752e-03,2.15767084e-03,1.62222554e-04
4.5,0.0,20.0,800.0,MEAN,5.0,1.63162289e+00,4.49350474e-02,6.53967606e-02,7.81191034e-02,1.97828363e-02,8.81582070e-03,2.14271319e-03,4.90496384e-04,5.36538522e-05
4.5,0.0,50.0,800.0,MEAN,5.0,4.95852251e-01,1.14844631e-02,1.76418836e-02,2.24892823e-02,6.98730517e-03,2.90794644e-03,6.57931899e-04,1.50870069e-04,2.05090199e-05
4.5,0.0,100.0,800.0,MEAN,5.0,1.98509144e-01,2.90415502e-03,5.11625943e-03,7.20497295e-03,2.76617734e-03,1.14961355e-03,2.56013571e-04,5.93017245e-05,8.90095900e-06
4.5,0.0,200.0,800.0,MEAN,5.0,8.34956845e-02,4.20912218e-04,1.01418639e-03,1.73181102e-03,9.12450827e-04,4.15743505e-04,9.79079015e-05,2.33009035e-05,3.41982040e-06
4.5,90.0,0.0,200.0,MEAN,5.0,3.86119879e+01,8.52710928e-01,1.22018174e+00,1.12293304e+00,2.37631027e-01,1.65008341e-01,5.50704571e-02,1.09296728e-02,6.28497361e-04
4.5,90.0,1.0,200.0,MEAN,5.0,3.64048508e+01,7.49832558e-01,1.06255651e+00,1.02578344e+00,2.26638058e-01,1.56019452e-01,5.15995757e-02,1.02322330e-02,5.94889609e-04
4.5,90.0,5.0,200.0,MEAN,5.0,2.11387340e+01,4.03643832e-01,5.42107262e-01,5.75784267e-01,1.56459921e-01,9.81692063e-02,2.97956281e-02,5.91035997e-03,4.11675489e-04
4.5,90.0,20.0,200.0,MEAN,5.0,4.78380357e+00,9.67695296e-02,1.26834795e-01,1.41555823e-01,4.91617830e-02,2.66281444e-02,7.04285462e-03,1.39400968e-03,1.40054886e-04
4.5,90.0,50.0,200.0,MEAN,5.0,1.45380393e+00,2.47322782e-02,3.42158338e-02,4.07517333e-02,1.73639601e-02,8.78343834e-03,2.16254734e-03,4.28778564e-04,5.35355489e-05
4.5,90.0,100.0,200.0,MEAN,5.0,5.82014853e-01,6.25422095e-03,9.92281135e-03,1.30557807e-02,6.87415134e-03,3.47240224e-03,8.41487496e-04,1.68537792e-04,2.32345441e-05
4.5,90.0,200.0,200.0,MEAN,5.0,2.44803476e-01,9.06452306e-04,1.96698005e-03,3.13813042e-03,2.26750649e-03,1.25575128e-03,3.21812139e-04,6.62220679e-05,8.92689967e-06
4.5,90.0,0.0,360.0,MEAN,5.0,3.16708217e+01,8.27508977e-01,1.24335946e+00,1.14977868e+00,2.11226597e-01,1.35345265e-01,4.23780750e-02,8.09691755e-03,4.46457758e-04
4.5,90.0,1.0,360.0,MEAN,5.0,2.83042718e+01,6.83304155e-01,1.01402527e+00,9.90043848e-01,1.91862421e-01,1.21302982e-01,3.77035261e-02,7.24874195e-03,4.08358320e-04
4.5,90.0,5.0,360.0,MEAN,5.0,1.29114956e+01,2.76996100e-01,3.84949188e-01,4.25760798e-01,1.06300319e-01,5.99615512e-02,1.72388935e-02,3.42256388e-03,2.42165155e-04
4.5,90.0,20.0,360.0,MEAN,5.0,2.79588203e+00,6.30525915e-02,8.53285727e-02,9.96987940e-02,3.20849294e-02,1.55627524e-02,3.90461139e-03,7.78040458e-04,8.00942480e-05
4.5,90.0,50.0,360.0,MEAN,5.0,8.49672072e-01,1.61149304e-02,2.30188274e-02,2.87017416e-02,1.13324091e-02,5.13345857e-03,1.19893245e-03,2.39314745e-04,3.06157798e-05
4.5,90.0,100.0,360.0,MEAN,5.0,3.40157125e-01,4.07509306e-03,6.67560764e-03,9.19528109e-03,4.48634380e-03,2.02943681e-03,4.66526975e-04,9.40662202e-05,1.32873147e-05
4.5,90.0,200.0,360.0,MEAN,5.0,1.43074779e-01,5.90621523e-04,1.32329302e-03,2.21020803e-03,1.47986466e-03,7.33920692e-04,1.78415062e-04,3.69606101e-05,5.10509371e-06
4.5,90.0,0.0,570.0,MEAN,5.0,2.43460824e+01,7.22421607e-01,1.11385381e+00,1.05357720e+00,1.77746406e-01,1.04042990e-01,3.07213699e-02,5.78937788e-03,3.16301396e-04
4.5,90.0,1.0,570.0,MEAN,5.0,2.16626667e+01,5.90440062e-01,9.01112322e-01,8.98604495e-01,1.59803353e-01,9.28392044e-02,2.73326235e-02,5.18292376e-03,2.89309132e-04
4.5,90.0,5.0,570.0,MEAN,5.0,9.68782392e+00,2.28530849e-01,3.29874013e-01,3.70189668e-01,8.45356621e-02,4.49906786e-02,1.24970854e-02,2.44716777e-03,1.71566459e-04
4.5,90.0,20.0,570.0,MEAN,5.0,2.09023416e+00,5.15825041e-02,7.26363930e-02,8.60080481e-02,2.53008306e-02,1.16348960e-02,2.83059130e-03,5.56306791e-04,5.67442764e-05
4.5,90.0,50.0,570.0,MEAN,5.0,6.35224796e-01,1.31834147e-02,1.95948970e-02,2.47603875e-02,8.93626284e-03,3.83783377e-03,8.69148664e-04,1.71112462e-04,2.16903250e-05
4.5,90.0,100.0,570.0,MEAN,5.0,2.54305452e-01,3.33378057e-03,5.68264586e-03,7.93257517e-03,3.53774269e-03,1.51723073e-03,3.38201953e-04,6.72582982e-05,9.41364798e-06
4.5,90.0,200.0,570.0,MEAN,5.0,1.06964381e-01,4.83179777e-04,1.12646010e-03,1.90669988e-03,1.16695925e-03,5.48687708e-04,1.29339407e-04,2.64272098e-05,3.61679965e-06
4.5,90.0,0.0,800.0,MEAN,5.0,2.00240274e+01,6.51398265e-01,1.02438548e+00,9.84783267e-01,1.55983797e-01,8.55726864e-02,2.42320404e-02,4.52027495e-03,2.45295601e-04
4.5,90.0,1.0,800.0,MEAN,5.0,1.77680042e+01,5.28983257e-01,8.24559865e-01,8.34934472e-01,1.39339673e-01,7.61479369e-02,2.15591050e-02,4.04676304e-03,2.24362770e-04
4.5,90.0,5.0,800.0,MEAN,5.0,7.84806652e+00,1.98899455e-01,2.95059202e-01,3.34833676e-01,7.16063451e-02,3.64467646e-02,9.85730389e-03,1.91071845e-03,1.33051887e-04
4.5,90.0,20.0,800.0,MEAN,5.0,1.68945359e+00,4.46573120e-02,6.47007456e-02,7.74122184e-02,2.13180623e-02,9.40402617e-03,2.23268048e-03,4.34357491e-04,4.40058803e-05
4.5,90.0,50.0,800.0,MEAN,5.0,5.13427073e-01,1.14134797e-02,1.74541217e-02,2.22857810e-02,7.52954756e-03,3.10196921e-03,6.85556851e-04,1.33602503e-04,1.68211123e-05
4.5,90.0,100.0,800.0,MEAN,5.0,2.05545037e-01,2.88620496e-03,5.06180729e-03,7.13977651e-03,2.98084360e-03,1.22631758e-03,2.66762955e-04,5.25144508e-05,7.30039914e-06
4.5,90.0,200.0,800.0,MEAN,5.0,8.64550778e-02,4.18310636e-04,1.00339245e-03,1.71614019e-03,9.83260604e-04,4.43482568e-04,1.02018815e-04,2.06340399e-05,2.80487237e-06
5.0,-90.0,0.0,200.0,MEAN,5.0,3.59244518e+01,7.46427128e-01,1.09343255e+00,1.04781875e+00,2.72092084e-01,1.82203134e-01,6.27314130e-02,1.81118826e-02,2.10035940e-03
5.0,-90.0,1.0,200.0,MEAN,5.0,3.46441452e+01,6.76609011e-01,9.82907131e-01,9.82565627e-01,2.64611949e-01,1.76028214e-01,6.01712545e-02,1.73562823e-02,2.02946972e-03
5.0,-90.0,5.0,200.0,MEAN,5.0,2.27409324e+01,4.25752074e-01,5.90087112e-01,6.36646151e-01,2.00910183e-01,1.23654229e-01,3.92659408e-02,1.12608209e-02,1.51492152e-03
5.0,-90.0,20.0,200.0,MEAN,5.0,6.86645426e+00,1.40524512e-01,1.91487631e-01,2.13285427e-01,8.02935772e-02,4.36472946e-02,1.23145241e-02,3.48349970e-03,6.22284653e-04
5.0,-90.0,50.0,200.0,MEAN,5.0,2.60673841e+00,4.52696700e-02,6.54699271e-02,7.71073075e-02,3.41455565e-02,1.76631018e-02,4.72804639e-03,1.33460881e-03,2.80791910e-04
5.0,-90.0,100.0,200.0,MEAN,5.0,1.26116801e+00,1.39268383e-02,2.31948218e-02,2.99696124e-02,1.58843967e-02,8.32337909e-03,2.22498292e-03,6.32584445e-04,1.41062283e-04
5.0,-90.0,200.0,200.0,MEAN,5.0,6.47744555e-01,2.48113232e-03,5.67528816e-03,8.83018931e-03,6.22089396e-03,3.62520615e-03,1.03978781e-03,3.02848610e-04,6.33856649e-05
5.0,-90.0,0.0,360.0,MEAN,5.0,3.07737493e+01,7.62285927e-01,1.17505995e+00,1.12553808e+00,2.51620968e-01,1.56079586e-01,5.03438153e-02,1.39132180e-02,1.53402635e-03
5.0,-90.0,1.0,360.0,MEAN,5.0,2.82636312e+01,6.52468228e-01,9.94991140e-01,1.00009131e+00,2.34057599e-01,1.43608581e-01,4.60626371e-02,1.28001486e-02,1.43668961e-03
5.0,-90.0,5.0,360.0,MEAN,5.0,1.44811917e+01,3.06834876e-01,4.40966601e-01,4.92929172e-01,1.41785229e-01,7.87417402e-02,2.36527327e-02,6.75194095e-03,9.15221568e-04
5.0,-90.0,20.0,360.0,MEAN,5.0,4.01308202e+00,9.15622376e-02,1.28824004e-01,1.50218474e-01,5.24027729e-02,2.55095521e-02,6.82726448e-03,1.94425028e-03,3.55870637e-04
5.0,-90.0,50.0,360.0,MEAN,5.0,1.52350174e+00,2.94965783e-02,4.40451330e-02,5.43072364e-02,2.22847444e-02,1.03231556e-02,2.62126435e-03,7.44886975e-04,1.60578596e-04
5.0,-90.0,100.0,360.0,MEAN,5.0,7.37086491e-01,9.07437757e-03,1.56044012e-02,2.11078156e-02,1.03667873e-02,4.86457809e-03,1.23354721e-03,3.53065190e-04,8.06703562e-05
5.0,-90.0,200.0,360.0,MEAN,5.0,3.78572685e-01,1.61664342e-03,3.81807087e-03,6.21916643e-03,4.06000212e-03,2.11874267e-03,5.76466152e-04,1.69029294e-04,3.62488402e-05
5.0,-90.0,0.0,570.0,MEAN,5.0,2.37410098e+01,6.71042915e-01,1.05957424e+00,1.03936602e+00,2.13507646e-01,1.20410645e-01,3.64960176e-02,9.94809151e-03,1.08680982e-03
5.0,-90.0,1.0,570.0,MEAN,5.0,2.17172850e+01,5.69021863e-01,8.90632155e-01,9.15535879e-01,1.96755347e-01,1.10346348e-01,3.33924396e-02,9.15223566e-03,1.01784977e-03
5.0,-90.0,5.0,570.0,MEAN,5.0,1.09028742e+01,2.55179397e-01,3.80256451e-01,4.31782476e-01,1.13659590e-01,5.92845749e-02,1.71467049e-02,4.82770602e-03,6.48405932e-04
5.0,-90.0,20.0,570.0,MEAN,5.0,3.00022713e+00,7.49058743e-02,1.09662106e-01,1.29590312e-01,4.13226305e-02,1.90712400e-02,4.94932620e-03,1.39015860e-03,2.52123246e-04
5.0,-90.0,50.0,570.0,MEAN,5.0,1.13898775e+00,2.41307666e-02,3.74936494e-02,4.68497081e-02,1.75728155e-02,7.71771211e-03,1.90024751e-03,5.32601716e-04,1.13764926e-04
5.0,-90.0,100.0,570.0,MEAN,5.0,5.51054497e-01,7.42363012e-03,1.32833280e-02,1.82092676e-02,8.17481396e-03,3.63681558e-03,8.94242129e-04,2.52445179e-04,5.71524310e-05
5.0,-90.0,200.0,570.0,MEAN,5.0,2.83025375e-01,1.32255493e-03,3.25015277e-03,5.36514379e-03,3.20154752e-03,1.58399684e-03,4.17900763e-04,1.20857654e-04,2.56811726e-05
5.0,-90.0,0.0,800.0,MEAN,5.0,1.95700199e+01,6.08231467e-01,9.78463114e-01,9.76211476e-01,1.88345310e-01,9.92560439e-02,2.87868991e-02,7.76734733e-03,8.42834306e-04
5.0,-90.0,1.0,800.0,MEAN,5.0,1.78569614e+01,5.12748140e-01,8.18677803e-01,8.55241936e-01,1.72553778e-01,9.07318974e-02,2.63388954e-02,7.14595288e-03,7.89354949e-04
5.0,-90.0,5.0,800.0,MEAN,5.0,8.85132652e+00,2.23206334e-01,3.41463540e-01,3.92361915e-01,9.67586459e-02,4.81292472e-02,1.35247761e-02,3.76941340e-03,5.02846731e-04
5.0,-90.0,20.0,800.0,MEAN,5.0,2.42496490e+00,6.48494108e-02,9.76813378e-02,1.16638777e-01,3.48177664e-02,1.54145289e-02,3.90387125e-03,1.08541871e-03,1.95524661e-04
5.0,-90.0,50.0,800.0,MEAN,5.0,9.20598741e-01,2.08910985e-02,3.33974055e-02,4.21674473e-02,1.48065642e-02,6.23792139e-03,1.49885486e-03,4.15848860e-04,8.82260916e-05
5.0,-90.0,100.0,800.0,MEAN,5.0,4.45395550e-01,6.42697311e-03,1.18321022e-02,1.63893942e-02,6.88796331e-03,2.93949416e-03,7.05349779e-04,1.97106087e-04,4.43224093e-05
5.0,-90.0,200.0,800.0,MEAN,5.0,2.28758214e-01,1.14499575e-03,2.89506814e-03,4.82893976e-03,2.69757109e-03,1.28028199e-03,3.29626844e-04,9.43641674e-05,1.99160634e-05
5.0,0.0,0.0,200.0,MEAN,5.0,4.91067735e+01,8.38525447e-01,1.20973736e+00,1.12836749e+00,2.94947104e-01,1.98625471e-01,8.15604394e-02,2.56008229e-02,2.66558023e-03
5.0,0.0,1.0,200.0,MEAN,5.0,4.73566639e+01,7.60092783e-01,1.08745571e+00,1.05809818e+00,2.86838657e-01,1.91893992e-01,7.82318414e-02,2.45327954e-02,2.57561366e-03
5.0,0.0,5.0,200.0,MEAN,5.0,3.14721697e+01,4.86101020e-01,6.63399288e-01,6.96081366e-01,2.20709963e-01,1.36475670e-01,5.15929996e-02,1.60626088e-02,1.93605419e-03
5.0,0.0,20.0,200.0,MEAN,5.0,1.03863791e+01,1.80292092e-01,2.41585361e-01,2.60128329e-01,9.70886999e-02,5.26522354e-02,1.74559916e-02,5.30542839e-03,8.36199301e-04
5.0,0.0,50.0,200.0,MEAN,5.0,3.94910822e+00,5.81983656e-02,8.27638117e-02,9.42205259e-02,4.13566181e-02,2.13400976e-02,6.71089343e-03,2.03494384e-03,3.77644720e-04
5.0,0.0,100.0,200.0,MEAN,5.0,1.91062094e+00,1.79042442e-02,2.93217352e-02,3.66210770e-02,1.92389580e-02,1.00560889e-02,3.15809577e-03,9.64532686e-04,1.89718524e-04
5.0,0.0,200.0,200.0,MEAN,5.0,9.81308037e-01,3.18972606e-03,7.17441582e-03,1.07899641e-02,7.53465934e-03,4.37987925e-03,1.47585378e-03,4.61768205e-04,8.52491147e-05
5.0,0.0,0.0,360.0,MEAN,5.0,4.60595594e+01,9.52670800e-01,1.45281814e+00,1.33970355e+00,2.96264178e-01,1.86300198e-01,7.14569934e-02,2.12141694e-02,2.06315400e-03
5.0,0.0,1.0,360.0,MEAN,5.0,4.23026257e+01,8.15425559e-01,1.23018504e+00,1.19038698e+00,2.75584673e-01,1.71414518e-01,6.53803757e-02,1.95170176e-02,1.93224315e-03
5.0,0.0,5.0,360.0,MEAN,5.0,2.17058207e+01,3.84773899e-01,5.46659103e-01,5.88577346e-01,1.67509419e-01,9.41249508e-02,3.35722104e-02,1.02950172e-02,1.23090652e-03
5.0,0.0,20.0,360.0,MEAN,5.0,6.07855940e+00,1.17661838e-01,1.62798601e-01,1.83485717e-01,6.34425837e-02,3.08143710e-02,9.69048113e-03,2.96449424e-03,4.78620154e-04
5.0,0.0,50.0,360.0,MEAN,5.0,2.30804642e+00,3.79205912e-02,5.56796571e-02,6.63602004e-02,2.69909692e-02,1.24721666e-02,3.72056961e-03,1.13576589e-03,2.15966546e-04
5.0,0.0,100.0,360.0,MEAN,5.0,1.11665763e+00,1.16659552e-02,1.97263046e-02,2.57924904e-02,1.25561070e-02,5.87725601e-03,1.75087196e-03,5.38335900e-04,1.08495769e-04
5.0,0.0,200.0,360.0,MEAN,5.0,5.73523027e-01,2.07834527e-03,4.82661449e-03,7.59945005e-03,4.91741751e-03,2.55980947e-03,8.18224399e-04,2.57727297e-04,4.87520567e-05
5.0,0.0,0.0,570.0,MEAN,5.0,3.57993208e+01,8.53348551e-01,1.32805392e+00,1.25727090e+00,2.55797889e-01,1.44799921e-01,5.18017093e-02,1.51683455e-02,1.46168025e-03
5.0,0.0,1.0,570.0,MEAN,5.0,3.27477246e+01,7.23610922e-01,1.11630454e+00,1.10747956e+00,2.35727400e-01,1.32697092e-01,4.73965536e-02,1.39548649e-02,1.36893400e-03
5.0,0.0,5.0,570.0,MEAN,5.0,1.64497815e+01,3.24930149e-01,4.77097769e-01,5.22941390e-01,1.36350850e-01,7.13327038e-02,2.43376863e-02,7.36104135e-03,8.72058875e-04
5.0,0.0,20.0,570.0,MEAN,5.0,4.54491035e+00,9.62827326e-02,1.38611569e-01,1.58327610e-01,5.00412159e-02,2.30397607e-02,7.02497353e-03,2.11964335e-03,3.39087450e-04
