damping,dist_rjb,rup_mag,rup_rake,site_vs30,result_type,0.04,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.25,1.5,2.0,2.5
5,50,6,0,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,100,6,0,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,10,7,0,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,50,7,0,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,100,7,0,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,10,5,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,50,5,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,100,5,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,10,6,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,50,6,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,100,6,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,10,7,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,50,7,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,100,7,90,500,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,10,5,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,50,5,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,100,5,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,10,6,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,50,6,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,100,6,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,10,7,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,50,7,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
5,100,7,90,2000,TOTAL_STDDEV,0.7430442,0.771366,0.7890959,0.8280096,0.8406738,0.831924,0.8413646,0.8680746,0.9092909,0.9647832,0.9788289,0.9387639,0.9115934
