rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,0.04,0.10,0.20,0.40,0.80,1.00,2.00,3.00,4.00,pga
5.0,0.0,30.0,180.0,MEAN,5.0,0.002525498421280378,0.0029695311088942552,0.003886336554552333,0.003615728452283273,0.001812955933014174,0.0013858596372295247,7.181777733469641E-4,5.25995416996271E-4,1.0918149041244663E-6,0.0025314588827294354
5.0,0.0,30.0,250.0,MEAN,5.0,0.002525498421280378,0.0029695311088942552,0.003886336554552333,0.003615728452283273,0.001812955933014174,0.0013858596372295247,7.181777733469641E-4,5.25995416996271E-4,1.0918149041244663E-6,0.0025314588827294354
5.0,0.0,30.0,600.0,MEAN,5.0,0.002250852837221429,0.0024699483935405817,0.002451886754700956,0.002501703330503501,0.0011185259901582087,8.74418316528625E-4,5.0843092707937E-4,3.7237623806788664E-4,5.826687759460619E-7,0.002256165104079614
5.0,0.0,30.0,900.0,MEAN,5.0,0.0015934817773799862,0.001748589552853428,0.0017899479716801143,0.0017984393928136878,8.736554767926148E-4,6.945751577787608E-4,4.038610407861859E-4,2.957889598377335E-4,3.833571466654716E-7,0.0014567025408494163
5.0,0.0,30.0,1200.0,MEAN,5.0,0.0015934817773799862,0.001748589552853428,0.0017899479716801143,0.0017984393928136878,8.736554767926148E-4,6.945751577787608E-4,4.038610407861859E-4,2.957889598377335E-4,3.833571466654716E-7,0.0014567025408494163
5.0,0.0,50.0,180.0,MEAN,5.0,8.055695970909571E-4,9.432949902070731E-4,0.0012557058274173785,0.0011602283124679635,6.160255071991028E-4,4.7753638437799864E-4,2.603000005639987E-4,1.9064445102876136E-4,1.724928971095914E-7,8.346365156764289E-4
5.0,0.0,50.0,250.0,MEAN,5.0,8.055695970909571E-4,9.432949902070731E-4,0.0012557058274173785,0.0011602283124679635,6.160255071991028E-4,4.7753638437799864E-4,2.603000005639987E-4,1.9064445102876136E-4,1.724928971095914E-7,8.346365156764289E-4
5.0,0.0,50.0,600.0,MEAN,5.0,7.179646591393386E-4,7.845985983168922E-4,7.92223844442656E-4,8.027558130402873E-4,3.800646931649397E-4,3.013050889798146E-4,1.8427828807447187E-4,1.349659354220398E-4,9.205427113933054E-8,7.438705775972975E-4
5.0,0.0,50.0,900.0,MEAN,5.0,5.08280053774489E-4,5.554532701121472E-4,5.78346231023098E-4,5.770898808737914E-4,2.9685997790010064E-4,2.3933513944277894E-4,1.4637744726420774E-4,1.0720725323170034E-4,6.05655634542019E-8,4.8028318428014705E-4
5.0,0.0,50.0,1200.0,MEAN,5.0,5.08280053774489E-4,5.554532701121472E-4,5.78346231023098E-4,5.770898808737914E-4,2.9685997790010064E-4,2.3933513944277894E-4,1.4637744726420774E-4,1.0720725323170034E-4,6.05655634542019E-8,4.8028318428014705E-4
5.0,0.0,90.0,180.0,MEAN,5.0,1.9336602520896793E-4,2.2455725528690095E-4,3.0928820159393925E-4,2.818454394671201E-4,1.6782696054278145E-4,1.3379430833427417E-4,8.070032190360746E-5,5.910514227361639E-5,2.0513791644170903E-8,2.1406950237163466E-4
5.0,0.0,90.0,250.0,MEAN,5.0,1.9336602520896793E-4,2.2455725528690095E-4,3.0928820159393925E-4,2.818454394671201E-4,1.6782696054278145E-4,1.3379430833427417E-4,8.070032190360746E-5,5.910514227361639E-5,2.0513791644170903E-8,2.1406950237163466E-4
5.0,0.0,90.0,600.0,MEAN,5.0,1.7233765137068623E-4,1.8677858948589775E-4,1.9512968942053224E-4,1.9500736405048954E-4,1.0354295644917345E-4,8.441850149315782E-5,5.7131452690101786E-5,4.184323630803141E-5,1.0947593609657308E-8,1.9078964481454355E-4
5.0,0.0,90.0,900.0,MEAN,5.0,1.2200571377854053E-4,1.3222911503975697E-4,1.4245029511383403E-4,1.4018805552238472E-4,8.087507289153322E-5,6.705599926912925E-5,4.538112596256239E-5,3.323726403170958E-5,7.2027855658424505E-9,1.2318414103052987E-4
5.0,0.0,90.0,1200.0,MEAN,5.0,1.2200571377854053E-4,1.3222911503975697E-4,1.4245029511383403E-4,1.4018805552238472E-4,8.087507289153322E-5,6.705599926912925E-5,4.538112596256239E-5,3.323726403170958E-5,7.2027855658424505E-9,1.2318414103052987E-4
5.0,0.0,120.0,180.0,MEAN,5.0,8.992126752730662E-5,1.037791503750168E-4,1.4663839824219043E-4,1.322475550650218E-4,8.582224545832129E-5,6.987237818030853E-5,4.547092078653927E-5,3.3303030012828305E-5,7.22871930823515E-9,1.0462389729440243E-4
5.0,0.0,120.0,250.0,MEAN,5.0,8.992126752730662E-5,1.037791503750168E-4,1.4663839824219043E-4,1.322475550650218E-4,8.582224545832129E-5,6.987237818030853E-5,4.547092078653927E-5,3.3303030012828305E-5,7.22871930823515E-9,1.0462389729440243E-4
5.0,0.0,120.0,600.0,MEAN,5.0,8.014241404188744E-5,8.631973747775521E-5,9.251405310212678E-5,9.150138162288918E-5,5.294911494030183E-5,4.408649018916328E-5,3.2190946682895536E-5,2.3576739704800212E-5,3.857750077486466E-9,9.324614661484485E-5
5.0,0.0,120.0,900.0,MEAN,5.0,5.673648417132233E-5,6.110969425652225E-5,6.753792416577378E-5,6.577905829240052E-5,4.135736197991539E-5,3.501914392714739E-5,2.55701778527279E-5,1.872767003026785E-5,2.538141948403665E-9,6.020476890306011E-5
5.0,0.0,120.0,1200.0,MEAN,5.0,5.673648417132233E-5,6.110969425652225E-5,6.753792416577378E-5,6.577905829240052E-5,4.135736197991539E-5,3.501914392714739E-5,2.55701778527279E-5,1.872767003026785E-5,2.538141948403665E-9,6.020476890306011E-5
5.0,0.0,150.0,180.0,MEAN,5.0,4.755349816505337E-5,5.454194522692594E-5,7.906255063262524E-5,7.056714315300981E-5,4.990918988953865E-5,4.1497024360958325E-5,2.913664452497215E-5,2.1339760231455567E-5,3.21823191389936E-9,5.8149669377788626E-5
5.0,0.0,150.0,250.0,MEAN,5.0,4.755349816505337E-5,5.454194522692594E-5,7.906255063262524E-5,7.056714315300981E-5,4.990918988953865E-5,4.1497024360958325E-5,2.913664452497215E-5,2.1339760231455567E-5,3.21823191389936E-9,5.8149669377788626E-5
5.0,0.0,150.0,600.0,MEAN,5.0,4.238209985114518E-5,4.536601404522328E-5,4.988050261934598E-5,4.88250319070618E-5,3.079210311878762E-5,2.6182852294620155E-5,2.06271646625532E-5,1.510739329562724E-5,1.7174735780750292E-9,5.182594738512127E-5
5.0,0.0,150.0,900.0,MEAN,5.0,3.000422892296582E-5,3.21166783976274E-5,3.6414204007873244E-5,3.509962978678703E-5,2.4051018723209693E-5,2.0797778843232215E-5,1.638473929377295E-5,1.200022904780102E-5,1.1299829294870726E-9,3.34616421029311E-5
5.0,0.0,150.0,1200.0,MEAN,5.0,3.000422892296582E-5,3.21166783976274E-5,3.6414204007873244E-5,3.509962978678703E-5,2.4051018723209693E-5,2.0797778843232215E-5,1.638473929377295E-5,1.200022904780102E-5,1.1299829294870726E-9,3.34616421029311E-5
5.0,0.0,200.0,180.0,MEAN,5.0,1.9451945972135887E-5,2.2080640605346132E-5,3.34008460532776E-5,2.9300494759150953E-5,2.391847416479891E-5,2.0596286268805953E-5,1.6413675940648147E-5,1.2021422329192402E-5,1.1336139732759223E-9,2.584188203036356E-5
5.0,0.0,200.0,250.0,MEAN,5.0,1.9451945972135887E-5,2.2080640605346132E-5,3.34008460532776E-5,2.9300494759150953E-5,2.391847416479891E-5,2.0596286268805953E-5,1.6413675940648147E-5,1.2021422329192402E-5,1.1336139732759223E-9,2.584188203036356E-5
5.0,0.0,200.0,600.0,MEAN,5.0,1.733656509619305E-5,1.8365876898265445E-5,2.1072568184530476E-5,2.0272856850762667E-5,1.4756803798190316E-5,1.2995378090319673E-5,1.1619992688429201E-5,8.510515260253118E-6,6.049756819666376E-10,2.3031601602703076E-5
5.0,0.0,200.0,900.0,MEAN,5.0,1.2273348175551052E-5,1.3002045126645042E-5,1.538358189164881E-5,1.4573872097754452E-5,1.1526207322566974E-5,1.032259573805824E-5,9.230088279709018E-6,6.760142563270913E-6,3.980336012757202E-10,1.4870450976226591E-5
5.0,0.0,200.0,1200.0,MEAN,5.0,1.2273348175551052E-5,1.3002045126645042E-5,1.538358189164881E-5,1.4573872097754452E-5,1.1526207322566974E-5,1.032259573805824E-5,9.230088279709018E-6,6.760142563270913E-6,3.980336012757202E-10,1.4870450976226591E-5
5.0,10.0,0.0,180.0,MEAN,5.0,0.44778138745416785,0.5096051850233276,0.5570283932028,0.5484049900369115,0.3025686097287715,0.24366559073590915,0.10995728481257364,0.07669622831799795,0.009382452550860431,0.3885894583043076
5.0,10.0,0.0,250.0,MEAN,5.0,0.44778138745416785,0.5096051850233276,0.5570283932028,0.5484049900369115,0.3025686097287715,0.24366559073590915,0.10995728481257364,0.07669622831799795,0.009382452550860431,0.3885894583043076
5.0,10.0,0.0,600.0,MEAN,5.0,0.4205627377024513,0.4609538467724359,0.43342559937071,0.4487148030177312,0.19722239640447686,0.1537425940719268,0.07784379624538754,0.05429677151589002,0.005007132731500659,0.36496882408606046
5.0,10.0,0.0,900.0,MEAN,5.0,0.3484376302661054,0.38190179878719416,0.365153260219007,0.37488010442104647,0.15843981056914339,0.12212208335108543,0.061833525255835284,0.04312945866944455,0.0032943589843246824,0.28758208717155953
5.0,10.0,0.0,1200.0,MEAN,5.0,0.3484376302661054,0.38190179878719416,0.365153260219007,0.37488010442104647,0.15843981056914339,0.12212208335108543,0.061833525255835284,0.04312945866944455,0.0032943589843246824,0.28758208717155953
5.0,10.0,10.0,180.0,MEAN,5.0,0.03067835111134604,0.03597118245008449,0.044266317069147534,0.041967683741037376,0.01872309944991782,0.013952164935789152,0.006422073333714128,0.004479455849760506,5.364144563830676E-5,0.02812551014392862
5.0,10.0,10.0,250.0,MEAN,5.0,0.03067835111134604,0.03597118245008449,0.044266317069147534,0.041967683741037376,0.01872309944991782,0.013952164935789152,0.006422073333714128,0.004479455849760506,5.364144563830676E-5,0.02812551014392862
5.0,10.0,10.0,600.0,MEAN,5.0,0.02734210920838358,0.02991952636570449,0.027927585523724142,0.02903721769320673,0.011551451951858445,0.008803220937635182,0.004546479743608702,0.0031712118851728154,2.8626826169874666E-5,0.025066887301266556
5.0,10.0,10.0,900.0,MEAN,5.0,0.019356730950245878,0.021181402561370563,0.020387942047596645,0.02087444802923903,0.009022579136690799,0.00699264694727959,0.0036113972289504048,0.0025189831386859835,1.8834540053657284E-5,0.016184541794797856
5.0,10.0,10.0,1200.0,MEAN,5.0,0.019356730950245878,0.021181402561370563,0.020387942047596645,0.02087444802923903,0.009022579136690799,0.00699264694727959,0.0036113972289504048,0.0025189831386859835,1.8834540053657284E-5,0.016184541794797856
5.0,10.0,30.0,180.0,MEAN,5.0,0.0031823438376057055,0.0037161041671225185,0.004650880785746753,0.004379262786900715,0.002067894139708125,0.001562497194558414,7.561917939274201E-4,5.274508058116574E-4,1.0973137890268507E-6,0.0030148858796437694
5.0,10.0,30.0,250.0,MEAN,5.0,0.0031823438376057055,0.0037161041671225185,0.004650880785746753,0.004379262786900715,0.002067894139708125,0.001562497194558414,7.561917939274201E-4,5.274508058116574E-4,1.0973137890268507E-6,0.0030148858796437694
5.0,10.0,30.0,600.0,MEAN,5.0,0.0028362669307302277,0.003090920815856176,0.0029342371243962426,0.0030299886851904686,0.0012758133267551982,9.858690806363289E-4,5.353427926967956E-4,3.734065744443793E-4,5.856033654291676E-7,0.0026870198685986935
5.0,10.0,30.0,900.0,MEAN,5.0,0.002007923216998602,0.002188204361450559,0.002142077638443836,0.0021782163155730986,9.965090754190061E-4,7.831036464911055E-4,4.2523789549521267E-4,2.966073851128448E-4,3.8528791058713684E-7,0.0017348857416608892
5.0,10.0,30.0,1200.0,MEAN,5.0,0.002007923216998602,0.002188204361450559,0.002142077638443836,0.0021782163155730986,9.965090754190061E-4,7.831036464911055E-4,4.2523789549521267E-4,2.966073851128448E-4,3.8528791058713684E-7,0.0017348857416608892
5.0,10.0,50.0,180.0,MEAN,5.0,0.0010150865355778858,0.001180449813586757,0.001502736066037502,0.0014052340324094388,7.026511307033467E-4,5.384017550159837E-4,2.740779952969995E-4,1.9117194954448472E-4,1.7336165113016916E-7,9.940251698004328E-4
5.0,10.0,50.0,250.0,MEAN,5.0,0.0010150865355778858,0.001180449813586757,0.001502736066037502,0.0014052340324094388,7.026511307033467E-4,5.384017550159837E-4,2.740779952969995E-4,1.9117194954448472E-4,1.7336165113016916E-7,9.940251698004328E-4
5.0,10.0,50.0,600.0,MEAN,5.0,9.046968271207239E-4,9.81855388546366E-4,9.480750327227372E-4,9.722739706284057E-4,4.3350946230616465E-4,3.3970854160836035E-4,1.940323613629663E-4,1.3533937577251502E-4,9.251789903070317E-8,8.85925865113191E-4
5.0,10.0,50.0,900.0,MEAN,5.0,6.404763049058215E-4,6.951003831962494E-4,6.921220886604914E-4,6.989541038159699E-4,3.386044842209095E-4,2.6984008617652927E-4,1.5412538308082907E-4,1.0750388744606797E-4,6.087059964781367E-8,5.720017814215176E-4
5.0,10.0,50.0,1200.0,MEAN,5.0,6.404763049058215E-4,6.951003831962494E-4,6.921220886604914E-4,6.989541038159699E-4,3.386044842209095E-4,2.6984008617652927E-4,1.5412538308082907E-4,1.0750388744606797E-4,6.087059964781367E-8,5.720017814215176E-4
5.0,10.0,90.0,180.0,MEAN,5.0,2.4365771664751E-4,2.8101344001072825E-4,3.7013329490634243E-4,3.4136281554457247E-4,1.9142681952255205E-4,1.5084733388880984E-4,8.49718878188215E-5,5.926868165098975E-5,2.0617108588038098E-8,2.54949872725857E-4
5.0,10.0,90.0,250.0,MEAN,5.0,2.4365771664751E-4,2.8101344001072825E-4,3.7013329490634243E-4,3.4136281554457247E-4,1.9142681952255205E-4,1.5084733388880984E-4,8.49718878188215E-5,5.926868165098975E-5,2.0617108588038098E-8,2.54949872725857E-4
5.0,10.0,90.0,600.0,MEAN,5.0,2.1716016854561972E-4,2.337367985938573E-4,2.335168121740868E-4,2.3618712074979786E-4,1.1810318659721402E-4,9.517823321240054E-5,6.0155489772496535E-5,4.195901332082376E-5,1.100273075514801E-8,2.2722431324399877E-4
5.0,10.0,90.0,900.0,MEAN,5.0,1.5373762585802028E-4,1.654729812199655E-4,1.7047400068654137E-4,1.6979160432511773E-4,9.224774096015585E-5,7.560275797178203E-5,4.7783203999961705E-5,3.332922898190252E-5,7.239062125773537E-9,1.4670833878548334E-4
5.0,10.0,90.0,1200.0,MEAN,5.0,1.5373762585802028E-4,1.654729812199655E-4,1.7047400068654137E-4,1.6979160432511773E-4,9.224774096015585E-5,7.560275797178203E-5,4.7783203999961705E-5,3.332922898190252E-5,7.239062125773537E-9,1.4670833878548334E-4
5.0,10.0,120.0,180.0,MEAN,5.0,1.1330848167394215E-4,1.298703798771242E-4,1.7548601343813443E-4,1.6017430628373973E-4,9.789058587033375E-5,7.87781041824043E-5,4.787775177287883E-5,3.33951769324268E-5,7.265126482489202E-9,1.2460368713794635E-4
5.0,10.0,120.0,250.0,MEAN,5.0,1.1330848167394215E-4,1.298703798771242E-4,1.7548601343813443E-4,1.6017430628373973E-4,9.789058587033375E-5,7.87781041824043E-5,4.787775177287883E-5,3.33951769324268E-5,7.265126482489202E-9,1.2460368713794635E-4
5.0,10.0,120.0,600.0,MEAN,5.0,1.0098629059041131E-4,1.0802147692113315E-4,1.1071399142728111E-4,1.1082375260732811E-4,6.0394829512343124E-5,4.970562341811383E-5,3.3894852533399735E-5,2.3641974728073994E-5,3.877179491371679E-9,1.1105315305661847E-4
5.0,10.0,120.0,900.0,MEAN,5.0,7.149281870407319E-5,7.647334920926463E-5,8.082440349739612E-5,7.966963944855274E-5,4.717304205506363E-5,3.9482580105580305E-5,2.692363837909523E-5,1.8779488051147074E-5,2.5509252053343514E-9,7.17019379186386E-5
5.0,10.0,120.0,1200.0,MEAN,5.0,7.149281870407319E-5,7.647334920926463E-5,8.082440349739612E-5,7.966963944855274E-5,4.717304205506363E-5,3.9482580105580305E-5,2.692363837909523E-5,1.8779488051147074E-5,2.5509252053343514E-9,7.17019379186386E-5
5.0,10.0,150.0,180.0,MEAN,5.0,5.9921471566562916E-5,6.825439522545355E-5,9.461622596187179E-5,8.546882545693448E-5,5.692742962514698E-5,4.67861119587401E-5,3.0678882457867074E-5,2.1398805704781617E-5,3.234440418488244E-9,6.925438066923025E-5
5.0,10.0,150.0,250.0,MEAN,5.0,5.9921471566562916E-5,6.825439522545355E-5,9.461622596187179E-5,8.546882545693448E-5,5.692742962514698E-5,4.67861119587401E-5,3.0678882457867074E-5,2.1398805704781617E-5,3.234440418488244E-9,6.925438066923025E-5
5.0,10.0,150.0,600.0,MEAN,5.0,5.3405067748053784E-5,5.677153316705533E-5,5.969330446792174E-5,5.913542682244655E-5,3.512209449170948E-5,2.952004096003967E-5,2.1718985505663506E-5,1.5149194289555381E-5,1.7261235694728794E-9,6.172303174132302E-5
5.0,10.0,150.0,900.0,MEAN,5.0,3.7807892576984016E-5,4.019116757864107E-5,4.35778320717229E-5,4.251162790231174E-5,2.7433077531591017E-5,2.3448602024776777E-5,1.7252003416715936E-5,1.2033432757517682E-5,1.1356740462207203E-9,3.985173647262549E-5
5.0,10.0,150.0,1200.0,MEAN,5.0,3.7807892576984016E-5,4.019116757864107E-5,4.35778320717229E-5,4.251162790231174E-5,2.7433077531591017E-5,2.3448602024776777E-5,1.7252003416715936E-5,1.2033432757517682E-5,1.1356740462207203E-9,3.985173647262549E-5
5.0,10.0,200.0,180.0,MEAN,5.0,2.4511114270458475E-5,2.7631958567632337E-5,3.997166765058213E-5,3.548788799543303E-5,2.7281894532271134E-5,2.3221427804669816E-5,1.728247171540583E-5,1.205468467908674E-5,1.1393233776257213E-9,3.0776847993975554E-5
5.0,10.0,200.0,250.0,MEAN,5.0,2.4511114270458475E-5,2.7631958567632337E-5,3.997166765058213E-5,3.548788799543303E-5,2.7281894532271134E-5,2.3221427804669816E-5,1.728247171540583E-5,1.205468467908674E-5,1.1393233776257213E-9,3.0776847993975554E-5
5.0,10.0,200.0,600.0,MEAN,5.0,2.1845553588249567E-5,2.298326206116661E-5,2.5218094495951406E-5,2.455388139965179E-5,1.683190834339036E-5,1.4651730422672967E-5,1.2235052994659653E-5,8.534063200639509E-6,6.080226193470551E-10,2.742989464743041E-5
5.0,10.0,200.0,900.0,MEAN,5.0,1.5465467570339053E-5,1.6270903487598818E-5,1.840993553479638E-5,1.7651440527411168E-5,1.3147024779454914E-5,1.163828316229788E-5,9.718648047006046E-6,6.778847357189427E-6,4.000382826117494E-10,1.7710227481088506E-5
5.0,10.0,200.0,1200.0,MEAN,5.0,1.5465467570339053E-5,1.6270903487598818E-5,1.840993553479638E-5,1.7651440527411168E-5,1.3147024779454914E-5,1.163828316229788E-5,9.718648047006046E-6,6.778847357189427E-6,4.000382826117494E-10,1.7710227481088506E-5
5.0,50.0,0.0,180.0,MEAN,5.0,0.878466190405843,0.936594717404915,0.7489526858094588,0.8067021087811969,0.46367514409751176,0.39372609959936566,0.13515247625461363,0.07754860810755194,0.009572902805236145,0.5785778873557449
5.0,50.0,0.0,250.0,MEAN,5.0,0.878466190405843,0.936594717404915,0.7489526858094588,0.8067021087811969,0.46367514409751176,0.39372609959936566,0.13515247625461363,0.07754860810755194,0.009572902805236145,0.5785778873557449
5.0,50.0,0.0,600.0,MEAN,5.0,0.878466190405843,0.936594717404915,0.7489526858094588,0.8067021087811969,0.3227809827507132,0.24842437425575986,0.09568062581353107,0.05490021019459901,0.005108770304111649,0.5785778873557449
5.0,50.0,0.0,900.0,MEAN,5.0,0.878466190405843,0.936594717404915,0.7489526858094588,0.8067021087811969,0.2681813251904837,0.197330494665062,0.07600182259977659,0.043608787049867814,0.0033612297202189998,0.5785778873557449
5.0,50.0,0.0,1200.0,MEAN,5.0,0.878466190405843,0.936594717404915,0.7489526858094588,0.8067021087811969,0.2681813251904837,0.197330494665062,0.07600182259977659,0.043608787049867814,0.0033612297202189998,0.5785778873557449
5.0,50.0,10.0,180.0,MEAN,5.0,0.07734495900495901,0.08821749352463966,0.09079304684270602,0.09030999131533658,0.0316914391914204,0.02254455159033556,0.007893602640513135,0.004529239231789467,5.473028961716169E-5,0.05658488120704508
5.0,50.0,10.0,250.0,MEAN,5.0,0.07734495900495901,0.08821749352463966,0.09079304684270602,0.09030999131533658,0.0316914391914204,0.02254455159033556,0.007893602640513135,0.004529239231789467,5.473028961716169E-5,0.05658488120704508
5.0,50.0,10.0,600.0,MEAN,5.0,0.06893376727308584,0.07337611509127974,0.05728126369081725,0.0624850037918775,0.019552432442297544,0.014224650403934853,0.005588242712954772,0.003206455820612603,2.920790945236054E-5,0.05043132845996547
5.0,50.0,10.0,900.0,MEAN,5.0,0.048801369942698354,0.05194631135335679,0.04181697281168159,0.04491959174743877,0.015271964923599767,0.0112990414449276,0.004438898969392193,0.0025469783917086066,1.9216854051497817E-5,0.03256120049601249
5.0,50.0,10.0,1200.0,MEAN,5.0,0.048801369942698354,0.05194631135335679,0.04181697281168159,0.04491959174743877,0.015271964923599767,0.0112990414449276,0.004438898969392193,0.0025469783917086066,1.9216854051497817E-5,0.03256120049601249
5.0,50.0,30.0,180.0,MEAN,5.0,0.008023190450032558,0.00911355626840805,0.009539253884178582,0.009423707695973133,0.00350019725944159,0.00252475503082091,9.294626876874519E-4,5.333127421378315E-4,1.119587676277256E-6,0.006065559646009359
5.0,50.0,30.0,250.0,MEAN,5.0,0.008023190450032558,0.00911355626840805,0.009539253884178582,0.009423707695973133,0.00350019725944159,0.00252475503082091,9.294626876874519E-4,5.333127421378315E-4,1.119587676277256E-6,0.006065559646009359
5.0,50.0,30.0,600.0,MEAN,5.0,0.007150676015417221,0.007580325929967464,0.006018307966907753,0.006520213351149208,0.002159490770885353,0.00159301272970977,6.58009191490682E-4,3.775565075548225E-4,5.97490269125689E-7,0.005405935724812033
5.0,50.0,30.0,900.0,MEAN,5.0,0.00506229094061139,0.005366459786378239,0.004393538207936788,0.004687289814614592,0.0016867296385310077,0.0012653749894836696,5.226752795091451E-4,2.99903794154687E-4,3.931086994673831E-7,0.003490365262614415
5.0,50.0,30.0,1200.0,MEAN,5.0,0.00506229094061139,0.005366459786378239,0.004393538207936788,0.004687289814614592,0.0016867296385310077,0.0012653749894836696,5.226752795091451E-4,2.99903794154687E-4,3.931086994673831E-7,0.003490365262614415
5.0,50.0,50.0,180.0,MEAN,5.0,0.0025591931651020427,0.00289499306648473,0.003082207761328769,0.0030239141632402806,0.001189334364271917,8.699743873547117E-4,3.3687917825935655E-4,1.9329657952558009E-4,1.768806426068387E-7,0.0019998498111548795
5.0,50.0,50.0,250.0,MEAN,5.0,0.0025591931651020427,0.00289499306648473,0.003082207761328769,0.0030239141632402806,0.001189334364271917,8.699743873547117E-4,3.3687917825935655E-4,1.9329657952558009E-4,1.768806426068387E-7,0.0019998498111548795
5.0,50.0,50.0,600.0,MEAN,5.0,0.002280883309262664,0.002407950350295424,0.0019445625151496976,0.0020922301641755734,7.337748111807134E-4,5.489167292111119E-4,2.3849219409550413E-4,1.3684349861100764E-4,9.439587894151941E-8,0.0017823680203183797
5.0,50.0,50.0,900.0,MEAN,5.0,0.0016147417234646457,0.001704698299497953,0.0014195866604050796,0.0015040748837829186,5.731349903007817E-4,4.3602005652488906E-4,1.8944108353140235E-4,1.0869865468517628E-4,6.210618502637913E-8,0.0011507934500146887
5.0,50.0,50.0,1200.0,MEAN,5.0,0.0016147417234646457,0.001704698299497953,0.0014195866604050796,0.0015040748837829186,5.731349903007817E-4,4.3602005652488906E-4,1.8944108353140235E-4,1.0869865468517628E-4,6.210618502637913E-8,0.0011507934500146887
5.0,50.0,90.0,180.0,MEAN,5.0,6.142995116309797E-4,6.891711541282657E-4,7.591670553929784E-4,7.345764683473364E-4,3.2401640693803996E-4,2.437460793197322E-4,1.0444202101132403E-4,5.992737670680592E-5,2.1035606156109797E-8,5.129261011842677E-4
5.0,50.0,90.0,250.0,MEAN,5.0,6.142995116309797E-4,6.891711541282657E-4,7.591670553929784E-4,7.345764683473364E-4,3.2401640693803996E-4,2.437460793197322E-4,1.0444202101132403E-4,5.992737670680592E-5,2.1035606156109797E-8,5.129261011842677E-4
5.0,50.0,90.0,600.0,MEAN,5.0,5.474950160362127E-4,5.732275980929063E-4,4.789579136019494E-4,5.082495606697341E-4,1.999060020148006E-4,1.5379337893503653E-4,7.393928848752637E-5,4.2425333708783495E-5,1.1226070320127046E-8,4.5714586887376336E-4
5.0,50.0,90.0,900.0,MEAN,5.0,3.875967885741626E-4,4.058140615625178E-4,3.496530760763094E-4,3.653734718036028E-4,1.561420789866878E-4,1.221624232017502E-4,5.873206450106627E-5,3.369964043248652E-5,7.386004645953785E-9,2.951581635240671E-4
5.0,50.0,90.0,1200.0,MEAN,5.0,3.875967885741626E-4,4.058140615625178E-4,3.496530760763094E-4,3.653734718036028E-4,1.561420789866878E-4,1.221624232017502E-4,5.873206450106627E-5,3.369964043248652E-5,7.386004645953785E-9,2.951581635240671E-4
5.0,50.0,120.0,180.0,MEAN,5.0,2.856685432074612E-4,3.1850049443747907E-4,3.599330347144043E-4,3.446780694089133E-4,1.6569337559844074E-4,1.2729329405885428E-4,5.884827658884088E-5,3.3766321309536935E-5,7.412598071517892E-9,2.506864692792968E-4
