rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,0.01,0.02,0.03,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,3,4,5,7.5,10.0,pga,pgv
5.0,0.0,30.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,30.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,30.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,30.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,30.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,60.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,60.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,60.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,60.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,60.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,90.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,90.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,90.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,90.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,90.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,120.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,120.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,120.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,120.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,120.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,150.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,150.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,150.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,150.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,150.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,200.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,200.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,200.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,200.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,0.0,200.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,0.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,0.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,0.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,0.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,0.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,10.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,10.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,10.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,10.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,10.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,30.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,30.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,30.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,30.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,30.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,60.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,60.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,60.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,60.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,60.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,90.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,90.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,90.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,90.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,90.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,120.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,120.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,120.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,120.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,120.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,150.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,150.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,150.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,150.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,150.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,200.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,200.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,200.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,200.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,180.0,200.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,0.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,0.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,0.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,0.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,0.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,10.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,10.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,10.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,10.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,10.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,30.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,30.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,30.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,30.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,30.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,60.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,60.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,60.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,60.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,60.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,90.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,90.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,90.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,90.0,900.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,90.0,1200.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,120.0,180.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,120.0,250.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
5.0,-180.0,120.0,600.0,INTER_EVENT_STDDEV,5.0,0.262,0.262,0.274,0.286,0.32,0.318,0.29,0.288,0.267,0.269,0.267,0.265,0.299,0.302,0.373,0.389,0.401,0.385,0.437,0.477,0.477,0.26,0.256
